transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0xa88d5f233bdcf8ec6ebbdc31cf8289dbd1241fdbb2b54596dd06d7ef84e269d4,1,0x27d4e6fe4f5aca5eccf4a1c7694ace7451060bfc,0x3561081260186e69369e6c32f280836554292e08,2022-10-18 21:04:23.000000 UTC,54,56,0.9642857142857144,11,7,7,1.0,1,56,0xa88d5f233bdcf8ec6ebbdc31cf8289dbd1241fdbb2b54596dd06d7ef84e269d4,1,1,5,24,16,115998,4,0,13,4,1.0,2.0,1,1,91696,28111576870,11071961,86479,0,5,2
0xba9838d663493cca626ddbd5e40347bac918399009107aab375f5f83dc81e669,2,0x145a35a5ea96057b782a7dd60894d461ded5c5e1,0x91bf23d27170712e0e93bda5478f86bbff2c1915,2022-10-22 23:49:47.000000 UTC,143,157,0.910828025477707,20,106,113,0.9380530973451328,32,42,0xba9838d663493cca626ddbd5e40347bac918399009107aab375f5f83dc81e669,5,1,3,32,20,145646,34,718,4626019,3,1.0,1.0,1,1,140519,14679933489,3981061,140519,0,96,2
0xff00898cdc8acb2e1aab3f42d6fa17e88609b959413b22328ed707ec5a498fce,1,0xf2978b5dabb93964410fb0394c07f144706a2df7,0x3561081260186e69369e6c32f280836554292e08,2022-10-02 18:57:47.000000 UTC,20,22,0.909090909090909,1,109,109,1.0,28,22,0xff00898cdc8acb2e1aab3f42d6fa17e88609b959413b22328ed707ec5a498fce,3,1,5,10,0,838,31,354,2252240,4,1.0,2.0,1,1,67231,5425159730,2787578,66932,0,98,2
0x69febe4714b07070627c469468557bd8043d8262148061fada15d4c162a2c4fb,2,0x4731223a7b5ac0c425f1f35d0bdf6d340a93a181,0x91bf23d27170712e0e93bda5478f86bbff2c1915,2022-10-02 17:28:35.000000 UTC,27,38,0.7105263157894736,1,9,9,1.0,4,11,0x69febe4714b07070627c469468557bd8043d8262148061fada15d4c162a2c4fb,1,1,3,7,0,571,5,5,35441,3,1.0,1.0,1,1,140531,5943469882,5666066,140531,0,8,2
0xcde0a1ecb334986a465fc0298ed38281889ced86e9c370eb41149611bda29915,2,0xf0e43a827e5a66e51e88edcadf58176c42bad071,0x91bf23d27170712e0e93bda5478f86bbff2c1915,2022-10-02 16:20:35.000000 UTC,11,20,0.55,1,29,29,1.0,13,3,0xcde0a1ecb334986a465fc0298ed38281889ced86e9c370eb41149611bda29915,2,1,19,3,0,232,16,232,1473531,6,9.0,2.0,1,3,222711,6663696189,10068395,222711,0,26,2
0xdd2c25f82e2c01802895c38581df74b4dcfb88d70c69213945c9f7701fd5b6ff,1,0xf0e43a827e5a66e51e88edcadf58176c42bad071,0x3561081260186e69369e6c32f280836554292e08,2022-10-02 16:09:23.000000 UTC,2,2,1.0,1,26,26,1.0,13,2,0xdd2c25f82e2c01802895c38581df74b4dcfb88d70c69213945c9f7701fd5b6ff,1,1,5,2,0,2,15,232,1473475,4,1.0,2.0,1,1,91696,6852688922,16031650,91279,0,23,2
0xce432fea99d7fe8bca76fdc26ecf7bcad443a30851a402ac5c09048f18b900ec,1,0xbd1ded3bcc8103028c8ebdc61990ca777709b10a,0x3561081260186e69369e6c32f280836554292e08,2022-10-10 22:31:11.000000 UTC,46,48,0.9583333333333331,6,669,684,0.9780701754385964,221,48,0xce432fea99d7fe8bca76fdc26ecf7bcad443a30851a402ac5c09048f18b900ec,2,1,1,20,8,59136,256,424,2710101,2,,,1,0,46279,27018815762,23017418,46279,0,636,2
0xb9e7a96c8dcb20a0d83fa2149c222a9aaf385d4012c556a6f788858b8f43ce57,1,0xa5e0ecb5d075e86c3bf5d1b1042e154fee9a4798,0x3561081260186e69369e6c32f280836554292e08,2022-10-03 01:16:47.000000 UTC,27,29,0.9310344827586206,2,4313,4476,0.9635835567470956,296,29,0xb9e7a96c8dcb20a0d83fa2149c222a9aaf385d4012c556a6f788858b8f43ce57,1,1,5,12,1,2725,304,351,2226703,4,1.0,2.0,1,1,91696,7119095050,7607656,91279,0,4368,2
0x79f85b7123741d0f4145f9ac11abc72eac60bc79b316e17d04111ea1be14cccf,2,0x5c044ca8eebab5e982bc61f75f6cce677397a899,0x91bf23d27170712e0e93bda5478f86bbff2c1915,2022-10-03 17:08:23.000000 UTC,66,79,0.8354430379746834,2,1097,1107,0.99096657633243,271,21,0x79f85b7123741d0f4145f9ac11abc72eac60bc79b316e17d04111ea1be14cccf,2,2,3,19,1,7630,257,1122,7165836,3,1.0,1.0,1,1,140519,30798938633,2538573,140519,0,991,2
0x52478a1449699e5c5b6dac41fad69b3a58ac67b3218a943b6d0442a445e7bcab,2,0x4731223a7b5ac0c425f1f35d0bdf6d340a93a181,0x91bf23d27170712e0e93bda5478f86bbff2c1915,2022-10-07 21:47:23.000000 UTC,77,90,0.8555555555555555,6,10,10,1.0,5,26,0x52478a1449699e5c5b6dac41fad69b3a58ac67b3218a943b6d0442a445e7bcab,2,2,19,22,5,37595,5,10,72465,6,9.0,2.0,1,3,205590,7784292756,6786190,195990,0,9,2
