transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x41dd844c6213462da1252e6ac7f03bf2e3ce494fe89e162c2e106df624ec1a2b,2,0x869c0a603d4fe5b4c70bd62b61326ee2e09afcae,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-05 14:32:23.000000 UTC,30634,35240,0.8692962542565266,722,9,10,0.9,4,520,0x41dd844c6213462da1252e6ac7f03bf2e3ce494fe89e162c2e106df624ec1a2b,4,2,23,2660,760,4940759,5,34,241551,9,11,6,2,4,600000,20751996587,6201984,186005,0,8,2
0xc3f2b4ec3d3677ac19138b9a63bc4094da0cdef508ddeec6a2c1d8f7a416876c,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-06 10:54:23.000000 UTC,30648,35254,0.8693481590741476,723,11340,14941,0.7589853423465631,670,534,0xc3f2b4ec3d3677ac19138b9a63bc4094da0cdef508ddeec6a2c1d8f7a416876c,14902,669,13,2663,761,4946828,9,757,4919349,8,8,3,1,6,500000,16618009174,6018654,257945,0,14922,2
0x689b21921af7bb734d5780cbfb65371beb40e111dbbf6547043bfe343afc0854,1,0xafdea8dadad978eff74c1ad3de99a985ebaf0ffd,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-02 19:45:59.000000 UTC,30606,35212,0.8691923207997274,719,6,6,1.0,2,492,0x689b21921af7bb734d5780cbfb65371beb40e111dbbf6547043bfe343afc0854,1,1,2,2658,757,4920819,4,32,228715,3,0,1,1,1,70000,18797654198,7632090,54197,41506093883527081,4,2
0x9e7882d59c17086382472e3d75f425669085a8d925b916618027b1c07088c69f,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-19 18:29:23.000000 UTC,30335,34940,0.8682026330852891,705,5301,5731,0.9249694643168732,191,220,0x9e7882d59c17086382472e3d75f425669085a8d925b916618027b1c07088c69f,4753,190,3,2637,743,4820094,47,208,1378421,4,0,2,1,2,700000,14492131770,11941241,72620,0,5618,2
0x5cdd7da66f046d2e06f4f3a7c88b08dc195cb15b3e255d10eb4ba0ca5134db3b,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-26 01:21:35.000000 UTC,30980,35589,0.8704936918710837,743,11412,15013,0.7601412109505095,687,869,0x5cdd7da66f046d2e06f4f3a7c88b08dc195cb15b3e255d10eb4ba0ca5134db3b,14974,686,6,2695,781,5087228,9,777,5059749,6,1,3,1,4,500000,18120285937,8686849,219763,0,14994,2
0xf9b13eb179cdb5d7be37b6dc3605f04b255c6d096da90dbcb6f7973218782ac2,1,0xfac9e5f339d264962caa0c6ef40978fc01c19bc7,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-25 00:45:35.000000 UTC,30476,35081,0.8687323622473703,711,1780,1848,0.9632034632034632,313,361,0xf9b13eb179cdb5d7be37b6dc3605f04b255c6d096da90dbcb6f7973218782ac2,22,15,2,2641,749,4857817,222,1775,11168381,3,0,1,1,1,70000,10919277154,8011191,54197,650000000000000000,1773,2
0xa9d2752016f35b104c7adb2957c826b50bbe7cbd47240826af1db6f9a42f9a58,1,0xff7fbdd739e20451c712cf52aa3fc06ac901974e,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-27 00:19:11.000000 UTC,30515,35121,0.8688533925571595,713,536,541,0.9907578558225508,173,401,0xa9d2752016f35b104c7adb2957c826b50bbe7cbd47240826af1db6f9a42f9a58,420,172,3,2644,751,4872014,23,216,1430593,4,0,2,1,2,700000,14094630311,2880049,59266,0,488,2
0xa6f18274047293d077522510e653cd72e282988ab015fc10e9335917f6be389d,1,0x37a48a4a9f7ada3cd95684d2e790d85f36b1640a,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-20 00:08:35.000000 UTC,30352,34957,0.8682667276940241,706,282,282,1.0,96,237,0xa6f18274047293d077522510e653cd72e282988ab015fc10e9335917f6be389d,2,2,11,2638,744,4821778,86,645,4179330,6,3,4,1,3,200000,15590439323,5762562,132557,0,249,2
0x3133970e49023bd07dd745079756f4aadd2c3f3f7f05d7014985bb4bce3c1474,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-20 00:24:35.000000 UTC,30355,34960,0.8682780320366132,706,5320,5750,0.9252173913043478,192,240,0x3133970e49023bd07dd745079756f4aadd2c3f3f7f05d7014985bb4bce3c1474,4763,191,11,2638,744,4821856,47,209,1380183,7,3,3,1,4,700000,15944299561,10220312,141218,0,5637,2
0xf57bd052392780fac58a256f6e50c2fd1ace583c6b33d837316348e1fc54df02,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-21 11:23:59.000000 UTC,30410,35015,0.8684849350278451,707,5395,5840,0.9238013698630136,193,295,0xf57bd052392780fac58a256f6e50c2fd1ace583c6b33d837316348e1fc54df02,4803,192,9,2640,745,4832311,47,210,1390638,6,3,3,1,4,700000,29027482792,2641165,123709,0,5726,2
