transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x810a95b9499bfef1edc3dd6d8931b619e61d88fc313186e0a2b99d337a8da36f,3,0x9a7067dcf6e8f4cb9e24244030c516a5e0c7dcd9,0xd6e194af3d9674b62d1b30ec676030c23961275e,2021-05-07 22:57:23.000000 UTC,2175,2198,0.9895359417652412,178,112,113,0.991150442477876,35,45,3,3,45,742,199,1296563,28,69,448498,10,25.0,7.0,2,5,435903,45100000000,11811698,243951,0,88,-1.0
0xf228104983bc22d3660937cf6ade3870705370d5f33aa59208c7d6cd71494ae2,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:33:52.000000 UTC,48,84,0.5714285714285714,1,89,179,0.4972067039106145,2,82,84,1,97,1,0,223,6,1,6567,11,32.0,8.0,2,1,1000000,210000000000,9244407,362536,3327000000000000000000,169,-1.0
0x24b08ebabca568de43148709f0845417b267e1eea8a41d6126358952c92c55e8,2,0x75c0c0591cdf9af7cb826a65ac213cff31916668,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:05:55.000000 UTC,25754,26996,0.9539931841754334,214,3574,3945,0.90595690747782,258,614,146,67,73,4703,213,1386899,293,321,2084081,15,11.0,5.0,2,2,1064929,167000000000,9303897,597052,0,3930,-1.0
0xdf2778800e5f06104d354d6487a807eaf11c29159f9f8d331435b45bfe1a483e,1,0x13251ca36c34cbff1dbd58671c72ec5610367c8e,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-02 18:12:54.000000 UTC,25255,26461,0.9544234911756924,208,157,170,0.923529411764706,36,79,10,9,4,4650,207,1349090,37,203,1322284,4,1.0,2.0,1,1,131323,40000000000,10470454,87549,2000000000000000000000,167,-1.0
0xdf1e3e94afa89d6ad7b7e408980914da321176291102e61711c960dd2409eea1,2,0x94692b042a0e36671952ff0b71e43d6e0d06845a,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-04 17:26:52.000000 UTC,25542,26773,0.9540208418929518,210,1127,1185,0.9510548523206752,241,391,11,10,46,4673,209,1361920,198,777,4966777,12,8.0,5.0,2,3,807771,70000000000,358755,358755,0,1149,-1.0
0x78fc03247169ecbff1e2c2ce34a202b6ae88063c6ba53a3cc6d1ffe1b17d7c8b,2,0xecded8b1c603cf21299835f1dfbe37f10f2a29af,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-07 01:19:29.000000 UTC,25678,26910,0.954217762913415,213,3452,3635,0.949656121045392,188,528,29,15,46,4692,212,1376982,418,231,1500514,12,8.0,5.0,2,3,856230,46620000000,4915617,388261,0,3586,-1.0
0x77e16fc800361ae404759a6fb9e3e1323c28d6722ab1af7e4c908c50ba0e4924,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 14:18:15.000000 UTC,25774,27026,0.9536742396211056,214,52,106,0.490566037735849,2,644,46,1,145,4703,213,1386963,6,1,6499,24,25.0,14.0,4,3,5000000,190000000000,7995794,901622,1000000000,96,-1.0
0x83ca3a213c4d411e0d39733c512ced9a252216a41d76f04a2aed3ea4a31d0c94,2,0x980a8dc166486de53f3344ef1e7eccf1f390a035,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-03 02:11:42.000000 UTC,25284,26492,0.9544013287030046,209,19,20,0.95,6,110,5,3,83,4653,208,1351274,7,47,301073,16,11.0,6.0,2,2,1102170,22200000000,11053133,619019,0,16,-1.0
0x1cb1c530c049c163dc0da11050fc59375d1a201d0bface7acc929aa18e353463,2,0xbfd011afe4b326817db13df58f0dea7188154aac,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-05 02:10:14.000000 UTC,25565,26797,0.9540247042579392,211,392,410,0.9560975609756096,62,415,20,8,37,4680,210,1364235,105,1330,8102365,12,8.0,5.0,2,3,746337,39000000000,10799122,340499,0,394,-1.0
0xf355a1716fc8e9cf7bdba1505aebe6f5fb931893a68675f9b63647ceab5bfd28,2,0xdc72bd8115311209270c453d52a031773372c52f,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-03 23:37:06.000000 UTC,25432,26655,0.9541174263740386,209,272,284,0.9577464788732392,21,273,107,20,52,4663,208,1357052,28,21,139520,13,10.0,5.0,2,2,975375,89000000000,12244685,462294,0,258,-1.0
0x068b35ff491d6be8873deadf3f8afb21f2ea19a8691b0cbf34e2cf37ff74c3f8,2,0x45be454c5a0b767a38e808280c308f8a7ca4d0ab,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-06 14:23:43.000000 UTC,25660,26892,0.9541871188457532,212,806,900,0.8955555555555555,121,510,42,15,51,4690,211,1374040,188,437,2837874,13,8.0,5.0,2,3,964221,63000001459,9153138,462180,0,835,-1.0
0xa775448bc92a91fbfbb52b5da5ba2f3650e85e0961b5bc638cd81d194243f0a5,2,0x763b1ce5fb7ed478a774641e9350e05065a1a95c,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-07 14:16:44.000000 UTC,25706,26939,0.9542299268718216,213,45,45,1.0,18,557,9,8,77,4697,212,1380422,11,129,839068,15,10.0,6.0,2,2,942568,87000000000,4344477,538034,145000000000000000000,41,-1.0
0xc5e953a049925dd95918f57255d30ed53a0a289a34695a10d6a24dc23eca97d1,6,0x003fd5f6030b8c1a4d2503339b14466b9ba6c6cf,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-05-03 04:39:21.000000 UTC,538186,1134279,0.4744740932345569,193,118234,122810,0.9627391906196564,154,12,112183,153,21,108,192,1244410,3,153,990489,9,3.0,4.0,2,5,297162,31707766030,10526222,163070,0,122785,-1.0
