transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x7291cbe5320202e1798e5182dbb84c753a9ddcce6a0bac6f14f3f739b9dbe4ca,1,0x3bf317a8bcf2c79c35c2fb63383e7d5d3ff25b06,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-11-25 13:50:39.000000 UTC,370771,163026961493,19268427,307485,0,458,2,522,253,273,0.92673992673992678,46,446,476,0.93697478991596639,138,355,2294407,222,0x7291cbe5320202e1798e5182dbb84c753a9ddcce6a0bac6f14f3f739b9dbe4ca,1,1,40,147,62,393040,99,11,12,4,1,4
0x6cc0256908c34611698fa4be6972a0708df17cb459cf6f4f119749f8c092d4e1,1,0xc40d92274004f749fb73e9b206687d88a1ad8b2e,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-27 01:07:57.000000 UTC,379329,47525418240,28206046,316020,0,354,2,3,560,590,0.94915254237288138,125,329,370,0.88918918918918921,100,874,5596506,539,0x6cc0256908c34611698fa4be6972a0708df17cb459cf6f4f119749f8c092d4e1,1,1,40,263,184,1174401,108,11,12,4,1,4
0x4a9e3b5a8dd7934501ffb64e5fda83aeab647dd5e868b4090e32d20146069ce5,1,0x1d3ab981ac3ab27b35e4abaaa0a4de1c48b04c52,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-23 00:00:47.000000 UTC,152081,35734530041,18682753,142295,0,2109,2,113,479,505,0.94851485148514847,121,2134,2157,0.98933704218822438,361,571,3681926,453,0x4a9e3b5a8dd7934501ffb64e5fda83aeab647dd5e868b4090e32d20146069ce5,3,3,21,250,180,1148428,457,7,12,2,1,4
0xbdd7f063f5b259d10fac862d7f1cd52f825663aa96172964ce6a014cf959a1e0,1,0x29bae7efbb88398a5ed92a8305ba42ace8e2e683,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-11-15 23:14:44.000000 UTC,562403,137968906515,7759736,522603,0,278,2,597,282,295,0.95593220338983054,43,280,289,0.96885813148788924,32,475,3072523,154,0xbdd7f063f5b259d10fac862d7f1cd52f825663aa96172964ce6a014cf959a1e0,1,1,29,194,43,274573,42,9,12,3,2,4
0xe639c3b166d191ad2f5dbfb5d5e9a131033228b1326a379380d034c1388a3c4d,1,0xff7efba11a8888d6974997d4a8940bf83cd7a580,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-12-07 09:12:48.000000 UTC,370837,76265797575,14997897,307551,0,689,2,453,295,315,0.93650793650793651,57,674,710,0.94929577464788728,136,288,1848640,264,0xe639c3b166d191ad2f5dbfb5d5e9a131033228b1326a379380d034c1388a3c4d,1,1,40,169,74,466896,159,11,12,4,1,4
0x61e33312466603b885ac6c57f828a20e4423a102164b627722e7a7c7618fe569,1,0x8e5666a139163ea723da4d0cd965327a158283d4,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2021-12-15 13:40:11.000000 UTC,363615,56957414573,5557118,359077,0,24,2,428,119,121,0.98347107438016534,26,28,29,0.96551724137931039,8,57,361406,68,0x61e33312466603b885ac6c57f828a20e4423a102164b627722e7a7c7618fe569,1,1,25,88,25,156525,16,8,12,3,2,3
0x0492cd754d92929ab096a3590d2f0914720965009e99568284ecebb9aca3a787,1,0x833f8a03a3e7d051d2df21f91ac7f1ddb14a6795,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-10-09 15:20:45.000000 UTC,557128,92787276625,15220464,517328,0,28,2,880,53,56,0.9464285714285714,7,45,45,1.0,19,243,1569870,34,0x0492cd754d92929ab096a3590d2f0914720965009e99568284ecebb9aca3a787,2,1,29,38,6,36688,16,9,12,3,2,4
0x731241bfc85565ef15a6bad8f91523f4170b44783632cd33966e68cbf269df7d,1,0xf0e3ea754d038b979cd0124e2f1a4bf44f32746a,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-12-05 02:27:37.000000 UTC,355502,87977836874,26151498,352702,0,129,2,469,282,302,0.93377483443708609,55,134,136,0.98529411764705888,32,147,939664,251,0x731241bfc85565ef15a6bad8f91523f4170b44783632cd33966e68cbf269df7d,28,3,20,164,72,452615,11,8,8,2,1,5
0x65927f86bf6ca0fa5b63f05ba8948bb8d5309677512334740a29c24c46eb11bb,1,0x2d925d3cf3651c2a08fa1bd534d397dca2af588f,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2021-12-08 07:55:10.000000 UTC,266276,71825095009,16641478,245412,0,9,2,448,87,87,1.0,19,15,15,1.0,4,17,103631,53,0x65927f86bf6ca0fa5b63f05ba8948bb8d5309677512334740a29c24c46eb11bb,4,3,32,68,18,110087,4,10,12,3,1,6
0xc93c3be60dcc5c2219a641771f330f3d96b5f22842b0e3a503fd3c1019b103f5,1,0x4668e2ac7e5e2d332c321ae14db3dbadc0f37d78,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-11-16 14:20:02.000000 UTC,562403,100227445391,26200481,517803,0,55,2,596,284,297,0.95622895622895621,44,70,71,0.9859154929577465,13,18,117087,155,0xc93c3be60dcc5c2219a641771f330f3d96b5f22842b0e3a503fd3c1019b103f5,1,1,29,195,44,278466,19,9,12,3,2,4
0x484b3d54119b2107f1b19d75e688190c1288fe5e8e0d0dd3eb9ce74865e0f613,1,0x65bd72cb15f99d1a065c72c2cea424e4f6c630e3,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-11-24 16:39:18.000000 UTC,152081,189800102595,29841000,142295,0,490,2,533,243,263,0.92395437262357416,45,526,558,0.942652329749104,196,1526,9385008,212,0x484b3d54119b2107f1b19d75e688190c1288fe5e8e0d0dd3eb9ce74865e0f613,1,1,21,140,61,387483,72,7,12,2,1,4
0xf3d1e780cc46c862775eaebd37aca2051e7b939a47be16c413be683acbe97c12,1,0xf0e3ea754d038b979cd0124e2f1a4bf44f32746a,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-11-05 01:51:25.000000 UTC,1000000,102170835769,8523968,385376,0,53,2,663,171,191,0.89528795811518325,28,60,60,1.0,21,117,750008,140,0xf3d1e780cc46c862775eaebd37aca2051e7b939a47be16c413be683acbe97c12,4,2,24,103,42,262959,8,9,12,2,1,6
0x81aa7a050bbf787600446c815c52e959be7bbdded99756bdd2134290ddfe9320,1,0xd76f585b6b94202430875ae748ff8c038dc64111,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-04 20:22:48.000000 UTC,152093,57067817874,18146536,142307,0,147,2,175,462,485,0.95257731958762881,111,147,150,0.98,48,156,999796,434,0x81aa7a050bbf787600446c815c52e959be7bbdded99756bdd2134290ddfe9320,7,4,21,240,161,1031838,47,7,12,2,1,4
