transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x6c3fbe79b91cc6ab6892358b696299b679725441457c3b2781f1e809d0a17a3b,1,0x5501644f351c50c96d8922dc746bb88651354d3a,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 19:18:20.000000 UTC,14752,19071,0.7735304913219023,27,6,8,0.75,4,232,3,2,4,1894,26,168178,4,35,224030,4,2.0,1.0,1,2,163809,38000000000,13387172,109206,0,5,-1.0
0xc7de3c92a12328fc74b41ca057e1e21b16c2191fcdc2b14e03c346329b9ec531,1,0x905971a778203ce53121f900d3cf9c44c0957c2a,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 05:30:41.000000 UTC,15197,19565,0.7767441860465116,30,52,52,1.0,9,726,7,3,3,1918,29,183609,13,21,132365,3,1.0,1.0,1,1,170863,19000000000,6602853,98909,0,44,-1.0
0xcf7ebe66e48258a340ce9b6edfde6f0d960f7da9d2461048e35d9a235cdbdbab,1,0xbe67b5e61b33db736b559dada7c56fda18b4e874,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 08:48:15.000000 UTC,14704,19019,0.7731216152268783,27,97,108,0.8981481481481481,22,180,41,10,4,1891,26,165384,23,43,275566,4,2.0,1.0,1,2,138159,44000002005,11742911,92106,0,92,-1.0
0x628174eccf05e94a3385f882805124b5d8718a0c9906c6cd0c573e5d6f56c9d2,1,0x0333e323e61aa8afa38a1623604a165dcb9f4fec,0x67a54b340392e661af8f757ba03674ede40d9dc3,2021-07-20 19:23:20.000000 UTC,1,1,1.0,1,3,3,1.0,1,1,1,1,19,1,0,0,1,0,36,7,8.0,3.0,1,4,316762,23100000000,9527566,292563,100000000000000000,2,-1.0
0x9f5160016c8b5d40a1301ec98e021331b40b94ee87c17337906865b5f5e7353e,1,0x4c492da6c3c7146a27af003dec17fbaa52f996fc,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 02:46:55.000000 UTC,14794,19118,0.7738257139868187,28,13,14,0.9285714285714286,4,278,4,3,5,1896,27,170220,4,4,23769,4,3.0,1.0,1,2,100000,16000000000,9538267,100000,0,10,-1.0
0x0639a1d0424062631265b2510addfb6a3fe5e6c86d295359b0dac7836cd79416,1,0x82650d06360a64dc6885adb6556d45e7c2652958,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 21:56:56.000000 UTC,15322,19700,0.7777664974619289,30,251,264,0.9507575757575758,60,861,39,15,4,1931,29,188018,61,323,2098277,4,2.0,1.0,1,2,126471,31000000000,910980,84314,0,244,-1.0
0x68c936576a53fd08fa6f87dd7b7a1912f1bf2f295ce0e7d4c3fa252fdd6ff5cc,1,0x6052c3944ac93a4994c79fe7d7cb9d425b0eac2d,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 21:50:27.000000 UTC,14775,19095,0.7737627651217596,27,26,26,1.0,8,256,1,1,2,1896,26,168845,7,17,113411,3,0.0,1.0,1,1,88216,19000000000,13852252,58811,0,17,-1.0
0x7c15885a86f8e84c07f84bcc56b25378f89e2be048955807b4ea1d2d43aa7446,1,0xcdea50bd33c1ff01f5c052db2d3da6175983541f,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 14:09:40.000000 UTC,14738,19055,0.7734452899501442,27,262,287,0.9128919860627178,46,216,10,7,4,1894,26,166817,51,155,1002232,4,2.0,1.0,1,2,126453,39600001604,14867863,84302,0,268,-1.0
0x42da41fbd3c30198250539f380a63627d4e7c21aee22b5b2f540060fd4e78ee2,1,0x65fce5bbacff79ce76bb3060e24ca8dec62387c5,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 16:57:12.000000 UTC,14897,19233,0.7745541517184007,28,28,29,0.9655172413793104,8,394,2,1,3,1904,27,173907,12,61,392850,3,1.0,1.0,1,1,179359,34000000000,4057440,104573,0,21,-1.0
0xe79e37a7bc452b9eed093b14ec824459573a3fd549d3ff801572c217bdd22799,1,0x9ab395b049105b5ac305d961b3a059e12273b3dc,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 20:13:45.000000 UTC,14759,19079,0.7735730384192043,27,302,357,0.84593837535014,44,240,204,22,4,1894,26,168419,23,123,796752,4,2.0,1.0,1,2,126471,27000000000,11187631,84314,0,350,-1.0
0x6158cea65bc6c32afaa9ff5ca604b0898fc66653dc30de7bc167dc3ba910d474,1,0x69731f7f5cc7fff48d547f7fa7c19f80605ce2ae,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-15 17:47:48.000000 UTC,14590,18895,0.7721619476051865,26,263,379,0.6939313984168864,48,53,193,18,4,1882,25,161413,36,123,797316,4,2.0,1.0,1,2,138159,43000000000,7897465,92106,0,341,-1.0
0x168039f35b7d9b975d2d6d0278c356736ab4222d3ef22cec304d508d2f685099,1,0x0846aa4c08aefe4148d745363f2989b205c33215,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-18 17:34:16.000000 UTC,15082,19439,0.77586295591337,29,117,137,0.8540145985401459,18,599,78,18,4,1913,28,180437,10,27,174951,4,2.0,1.0,1,2,126453,20000000000,8603020,84302,0,118,-1.0
0x146f1259cf079e3a2b03b64f85fcef37fb5ce23f411e9d2f175e0fd4bd490cdb,1,0x39ffd4e8557ec9ceade11a97c96a48c8edfe4383,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 07:33:31.000000 UTC,15226,19597,0.7769556564780323,30,45,51,0.8823529411764705,12,758,17,9,4,1921,29,184190,13,27,172121,4,2.0,1.0,1,2,91249,12000000000,12886876,84302,0,46,-1.0
0x9d59b1dedc420d2a7f7ceb0bce022da4f46d01cb3f4f6f4fff89cfb93ceb263b,1,0xd8d69378d64d63625b11956ae25f05cb990ed07a,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-15 17:49:11.000000 UTC,14591,18896,0.7721740050804403,26,58,66,0.8787878787878787,19,57,8,7,5,1882,25,161423,20,78,504150,4,3.0,1.0,1,2,190606,38500000000,13603553,97071,0,59,-1.0
0x3b9d570e2fd7d20e818c43ec35df760b3ae199111330ada8ce41a9b43d9a8879,1,0x8db0d59ccd06bb10524f156957ccda4a8d036eb1,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 21:42:06.000000 UTC,15318,19696,0.7777213647441104,30,83,107,0.7757009345794392,21,857,48,15,5,1931,29,187942,20,28,180971,4,3.0,1.0,1,2,175635,27000000000,1635967,87090,0,103,-1.0
0xe217780abb4308ed8fd53499df5c5f888e867ec1cd894c2ba59423ba2c348058,1,0xdc8beec06ce3029bbb6c5e8c0d56d3a25548a1a5,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 08:48:40.000000 UTC,15233,19605,0.7769956643713338,30,160,166,0.963855421686747,15,766,24,3,5,1921,29,184517,32,181,1171484,4,3.0,1.0,1,2,201985,23000000000,7357519,134657,0,155,-1.0
0x7440ca9c7171975fd44a27901914b6f185764964eb00f18d35317f7297a7a10f,1,0x0a276705cdc5e5ff5d929539606becdf73747e67,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 04:13:18.000000 UTC,15182,19547,0.7766920755103085,30,125,135,0.925925925925926,36,708,38,13,5,1918,29,183280,16,125,807544,4,3.0,1.0,1,2,179145,17000001459,3720832,104430,0,118,-1.0
0x1f752684a5c4f0a29393e211a2692742de0973f9d5cd7db7df33ab6d2a49965a,1,0xcdea50bd33c1ff01f5c052db2d3da6175983541f,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 14:27:35.000000 UTC,14744,19061,0.7735166045852788,27,267,292,0.9143835616438356,46,222,12,7,5,1894,26,166902,51,155,1002317,4,3.0,1.0,1,2,179145,43000000000,8506003,104430,0,273,-1.0
0x2cd53850569c2134aaa74ad4e85c507347f49d7666dfc5126bb051fe93308dd4,1,0x629322a26559283f2dec1d0f53252f670b181719,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:41:35.000000 UTC,15437,19830,0.7784669692385274,31,139,151,0.9205298013245032,18,989,56,14,4,1936,30,193804,19,27,171854,4,2.0,1.0,1,2,126471,23000000000,13146553,78665,0,132,-1.0
0x40058c62fd1ffd44a0a31e14f6fddef76a2c42e48b5e6a9256f380d47efeea0f,1,0xe88a58e26570e6d56ff3d3d750250fc9087b5439,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-18 21:14:19.000000 UTC,15136,19497,0.7763245627532441,29,598,626,0.9552715654952076,126,658,9,2,5,1915,28,181417,86,325,2112791,4,3.0,1.0,1,2,201985,17600000000,8294854,134657,0,569,-1.0
0x27eb9c47882da38b6f717638d38611a9f3910695c890b88fa86dcaae603d1464,1,0xb5c152805fa04b9298be0a2a2a8db3a7bdb660f0,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 23:30:14.000000 UTC,14782,19102,0.7738456706104073,27,126,133,0.9473684210526316,26,263,17,8,3,1896,26,169324,26,33,211699,3,1.0,1.0,1,1,212338,23100000000,12277729,141559,0,106,-1.0
0x8623a2f994aa514a60c17be0ccf2105cbbe2d0de122142e071eebbb6027db09e,1,0xcc1588e79afb2d6b36497c7ef95f3cb92c09eefc,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-15 22:02:25.000000 UTC,14619,18926,0.7724294621156081,26,78,82,0.951219512195122,15,87,20,9,5,1882,25,162567,16,100,645975,4,3.0,1.0,1,2,153531,34000000000,1426644,87354,0,72,-1.0
0x5d7fa62eb066bb0125296d45e044cb360b2b0ce31533ff52c722aa25f5c82036,1,0x66155347782eb398366da4a6bbb24ad90b47366d,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-18 04:54:16.000000 UTC,14965,19308,0.7750673296043091,29,88,96,0.9166666666666666,34,469,9,5,4,1908,28,177105,16,90,579813,4,2.0,1.0,1,2,163809,12500000000,13363542,92106,0,75,-1.0
0xff608dddef7ff204b82092cf6a6c8e549b4158af8e7c091d83c0bea9e7326d2b,1,0x0b0acef4e74c558608942a106ce48aef6dc24df6,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-15 15:53:02.000000 UTC,14587,18887,0.7723301741938899,26,125,148,0.8445945945945946,28,48,16,6,4,1881,25,160887,29,149,962819,4,2.0,1.0,1,2,126453,46200000000,11380465,84302,0,125,-1.0
0x66d4e834bac45541f6f67ee1850ba0859320a1a103bcbd45c954ea1c5007093a,1,0x35c11d071f13b7eb59b2a493177e8014e5eab83d,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-15 23:54:49.000000 UTC,14631,18938,0.7725736614214807,26,322,335,0.9611940298507464,64,99,15,9,5,1884,25,163059,66,260,1690332,4,3.0,1.0,1,2,175617,35200000000,11209820,87078,0,288,-1.0
0xc0ca1cfb2545cb70544cc47c12f9e8d4f4a878fcf2cfb688c6f97d06a2035ed6,1,0xd51d87ca358c6be3353d44376b739185d3763ecc,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 01:51:23.000000 UTC,15166,19530,0.7765488991295442,30,257,264,0.9734848484848484,43,691,119,24,4,1917,29,182659,20,93,595333,4,2.0,1.0,1,2,152121,13000000000,7259541,101414,0,253,-1.0
0x8e108bdf5bb62e2e40372993fbf704e6f9090551677c47d37c3bbaf0a172b878,1,0x59bb5f8b697c642fe8cac6195c6803f4a4809089,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 06:12:57.000000 UTC,15357,19737,0.7780817753457973,31,287,293,0.9795221843003412,61,898,11,4,4,1934,30,190196,35,128,826667,4,2.0,1.0,1,2,126453,33000000000,5825557,84302,0,268,-1.0
