transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x865f8880e4d85fa4719a18846cb6bdf4db0e76c525571dc9c31672844d824f75,1,0x06473213b66986aa852fab475a2c42a1b8d2396f,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-09-25 00:48:59.000000 UTC,1000000,10000000000,2111089,35093,73949710000000000,72,,890,1365,1507,0.90577305905773065,26,147,147,1.0,59,111,0x865f8880e4d85fa4719a18846cb6bdf4db0e76c525571dc9c31672844d824f75,7,6,1,307,25,144804,4,170,992323,2,,,1,0
0x8a65ae4e90fd0b1c83df789e11b13dc3f463b6615a5d42bb9b50ac00b4ca83ee,1,0x143cf5e9710acb5b5bc3e11106ad213f4a3a4d31,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 16:13:16.000000 UTC,1000000,5000000000,3847660,738877,0,1,,325,1908,2073,0.92040520984081042,37,3,3,1.0,2,677,0x8a65ae4e90fd0b1c83df789e11b13dc3f463b6615a5d42bb9b50ac00b4ca83ee,2,2,5,380,36,216012,1,10,64887,4,3,1,1,3
0x3a700ea3ce55a172e1392a886d969ad5e44d406e12754f419f5284171dad7fa4,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-09-29 21:33:08.000000 UTC,90000,20000000000,627295,35332,40000000000000000,1745,,640,1606,1757,0.91405805350028457,30,1542,1763,0.87464549064095287,71,361,0x3a700ea3ce55a172e1392a886d969ad5e44d406e12754f419f5284171dad7fa4,1067,30,1,346,29,174502,376,72,429122,2,,,1,0
0xbd309a3de83de6bb8ace0bed87630bdaa44246f873718044889f861fb6cb6536,1,0x6b60219ad4e795c53a83f9ebcacf656719dae2ca,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 03:11:00.000000 UTC,1000000,16000000000,1941203,35029,5578342000000000,13,,386,1853,2011,0.92143212332173052,37,20,20,1.0,3,615,0xbd309a3de83de6bb8ace0bed87630bdaa44246f873718044889f861fb6cb6536,8,3,1,379,36,212640,2,30,182063,2,,,1,0
0x0b3a7a1eeef19b0f485f9877ff8b202177b662f17cfc62ae803ba196f39c69ec,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 06:28:52.000000 UTC,90000,10000000000,4019012,35396,48204450000000000,1999,,376,1862,2021,0.921326076199901,37,1784,2018,0.88404360753221012,78,625,0x0b3a7a1eeef19b0f485f9877ff8b202177b662f17cfc62ae803ba196f39c69ec,1193,37,1,380,36,213503,422,79,468123,2,,,1,0
0xff25318526adf798d6088afb807f1f5878e71c341c3b8767984d46af23700e20,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-09-24 06:55:24.000000 UTC,90000,8000000000,3501072,62425,0,1533,,921,1335,1476,0.90447154471544711,25,1335,1549,0.86184635248547448,66,80,0xff25318526adf798d6088afb807f1f5878e71c341c3b8767984d46af23700e20,936,25,1,301,24,140294,330,67,394914,2,,,1,0
0xca5c6c137bd2f6ec10c10f8eb7e72f968d88e4b8b9326ceafb2b4c14f9bc6808,1,0xe6a75f24ab809eee0c5f171b017a58c679617f15,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 22:28:44.000000 UTC,750000,5000000000,2665510,188668,0,12,,160,2047,2237,0.91506481895395619,37,23,24,0.95833333333333337,11,841,0xca5c6c137bd2f6ec10c10f8eb7e72f968d88e4b8b9326ceafb2b4c14f9bc6808,12,7,2,382,36,217655,2,33,204516,3,0,1,1,1
0xb5c3124f2f88851c2a133d80d8b7ea9bc44ff83683883ad66474ea88924d74ac,1,0xa2210bd5356d783016535efca68562e8fba1e57a,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-09-23 03:23:08.000000 UTC,1000000,10000000000,878913,50093,19192224076592109,10,,973,1284,1424,0.901685393258427,24,21,21,1.0,9,28,0xb5c3124f2f88851c2a133d80d8b7ea9bc44ff83683883ad66474ea88924d74ac,2,2,1,290,23,133283,2,133,773296,2,,,1,0
0xc5ce5f2fa247a6652f277d0c99e5aef631e51b86eca3311409e72d7e11366a8c,1,0xde61d70c8ae0576cda717247fead8de38ac7c862,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-09-29 07:20:46.000000 UTC,750000,18000000000,2611901,161603,5000000000000000,0,,661,1585,1736,0.91301843317972353,30,2,2,1.0,2,340,0xc5ce5f2fa247a6652f277d0c99e5aef631e51b86eca3311409e72d7e11366a8c,1,1,1,343,29,170833,1,0,0,2,,,1,0
0xa67aafcdf305dba12b89138ac9ad2d3e7b232610d3bd528e6f095bf0f8d2d7b7,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 19:04:01.000000 UTC,1000000,20000000000,267908,56713,0,2158,,231,1982,2166,0.91505078485687907,37,1909,2177,0.87689480937069364,78,770,0xa67aafcdf305dba12b89138ac9ad2d3e7b232610d3bd528e6f095bf0f8d2d7b7,1272,37,2,382,36,216763,426,79,471383,3,0,1,1,1
