transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x1a7a232bc8bed715b6753a2b2f21abf5ed0e4dfdf3113eafb5da072fc8b68516,3,0x19e86826048a3458becdd6b0459db22753861906,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-18 21:56:49.000000 UTC,126822,77000000000,12322852,84251,0,183,2,789,918,940,0.97659574468085109,34,191,197,0.96954314720812185,70,254,1643132,212,0x1a7a232bc8bed715b6753a2b2f21abf5ed0e4dfdf3113eafb5da072fc8b68516,2,2,6,657,46,295622,64,4,4,1,1,2
0x53ab0a409e30f54ce55df82c14d3e0cb8cd13321a2c8a560875edaf609348083,3,0x0cd46345cd68e38f08280cfb24dc0a0dff8bbf6f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-18 05:48:39.000000 UTC,287701,64088511100,1148472,185411,0,866,2,840,868,889,0.97637795275590555,34,870,887,0.98083427282976321,181,411,2661546,161,0x53ab0a409e30f54ce55df82c14d3e0cb8cd13321a2c8a560875edaf609348083,1,1,13,621,46,291354,210,7,5,3,1,3
0x287740f118c5fedb234700f4fe1eed664d13e71b716eacb91e723a9524b6f3ee,3,0x41b9faeed6caff639d1da708a9899821b950aeed,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-15 20:35:28.000000 UTC,250959,141741837612,12907091,160916,0,713,2,933,775,796,0.97361809045226133,31,677,731,0.9261285909712722,98,427,2765358,68,0x287740f118c5fedb234700f4fe1eed664d13e71b716eacb91e723a9524b6f3ee,1,1,6,557,43,276104,147,4,4,1,1,2
0x5bfafb2f7feed05dcd76054a8636921cc10772a3ac092704a2590e924a2dcacf,2,0xda90d355b1bd4d01f6124fee7669090d4cbd5778,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-23 12:11:02.000000 UTC,140926,80611825977,20530002,88853,0,125,2,251,1443,1479,0.97565922920892489,70,133,136,0.9779411764705882,43,184,1180231,750,0x5bfafb2f7feed05dcd76054a8636921cc10772a3ac092704a2590e924a2dcacf,3,3,8,883,82,522066,49,7,4,3,1,3
0x235c6303e46824d95dad434e673aa4a72d41b88e2abd629fa1d87f60b30ceb78,2,0x3f81df1f1b536ba388005379e7328f01b7f58248,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-16 17:04:01.000000 UTC,140890,86348568109,1073770,93629,0,18,2,898,810,831,0.97472924187725629,32,21,21,1.0,12,216,1391329,103,0x235c6303e46824d95dad434e673aa4a72d41b88e2abd629fa1d87f60b30ceb78,4,2,8,584,44,281604,9,7,4,3,1,3
0x2233d17fefe914ea810e7601eb083334eb7cc2341ba6993f545ee5259a05df2e,3,0x455f0e10662dd61d213f84bc32dca362dd08f531,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-24 05:48:50.000000 UTC,250959,46144618685,15974426,165716,0,19,2,554,1148,1176,0.97619047619047616,40,21,21,1.0,9,25,159122,447,0x2233d17fefe914ea810e7601eb083334eb7cc2341ba6993f545ee5259a05df2e,1,1,6,784,52,329729,11,4,4,1,1,2
0x84f05a1d330f205e640bf7fb1c4ebf32b9a7dfe89d6dffa6b66547941179cc64,2,0x61001ea449d2e8dba71f6f2e53458605c04aecc6,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-27 08:22:23.000000 UTC,140926,260581036511,6247553,88853,0,467,2,491,1210,1239,0.976594027441485,43,478,483,0.989648033126294,95,188,1205259,510,0x84f05a1d330f205e640bf7fb1c4ebf32b9a7dfe89d6dffa6b66547941179cc64,6,4,8,806,55,349627,38,7,4,3,1,3
0x5a21410245ae863891a08356819a25abc7df591337306d5bd6e6e461f559113f,3,0x35dcf2c2223f335266e17dacbe8777d7c5bf8a15,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-18 10:41:19.000000 UTC,287719,59517435973,7808951,185423,0,1400,2,820,887,909,0.97579757975797576,34,1369,1443,0.94871794871794868,222,946,6057395,181,0x5a21410245ae863891a08356819a25abc7df591337306d5bd6e6e461f559113f,1,1,13,637,46,292661,342,7,5,3,1,3
0x729e8d0497e8b14e761473f723af1b79cee254df0eb0d3773873746af142e422,3,0x67f3961d25922673a74f70f7f1a39485e84d9d8e,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-10-21 00:54:47.000000 UTC,126822,86667043859,8265593,84251,0,625,2,638,1066,1091,0.97708524289642529,37,672,692,0.97109826589595372,157,1130,7109714,363,0x729e8d0497e8b14e761473f723af1b79cee254df0eb0d3773873746af142e422,2,2,6,752,49,309203,129,4,4,1,1,2
0xace9934a20f0eda71936fcea7f9eb853ba12f97db88d9e096b87fd177e0f97f3,3,0x58214ca260a6344c0ca8f465cd33cd516fe5a3f7,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-11-27 09:34:50.000000 UTC,126840,81652397923,1922056,84263,0,257,,216,1478,1514,0.97622192866578594,74,252,273,0.92307692307692313,77,229,1470434,785,0xace9934a20f0eda71936fcea7f9eb853ba12f97db88d9e096b87fd177e0f97f3,6,4,6,890,86,546645,78,4,4,1,1,2
