transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x48efe620b58daefb020509126b196e67fc649dd3433ea75a2a829e8dd9bbd06d,3,0xadfa68b836d774f0b19470d6e3f51387bd920bb4,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,2022-02-02 18:15:34.000000 UTC,831778,183038610672,15586300,668836,3.8969e+18,366,2.0,68,51846,59992,0.8642152286971596,138,338,414,0.8164251207729468,100,301,1937915,1,0x48efe620b58daefb020509126b196e67fc649dd3433ea75a2a829e8dd9bbd06d,3,2,34,20188,164,1053297,75,15,6.0,5.0,1,4,0.9344673871616306,-0.4058339249659033,-0.46416110828231233,-0.20929709354309098,0.2660644269597075,0.3833462081528162,0.8315090499740426,-1.421602093408715,-0.19486480754823454,-0.2082995925376997,5.561178355551638,-0.44205376394778884,-0.15922979631393552,-0.15176178497761297,0.17032500763996666,0.4906302644635604,0.5084858412692903,4.967663381697724,2.07140393656131,0.9929357284357344,-0.03176604689948889,2.0868464279903383,0.6709896961073094,0.31997926995161846,0.2602500619651751,1.8115775422261675,0.0,0.34876778099148165,0.08823529411764706,0.8363636363636363,2.9716663364374876,0.04922253721169128,0.33112582781456956,5.52,0.00017441416449422988,0.007246376811594203,5.000666755567409e-05,1.5,0.014492753623188406,0
0xbcd5b2501d7d05f6c10638b11b99ddeb1acc4d86f224743fe409583a89ad8426,1,0xf43ee1f15ea5109c3b70b3f3043bbdc019ac2c5e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38.000000 UTC,46175,144883914858,23287735,46175,0.0,61,2.0,809,581,10445,0.0556247008137865,4,72,78,0.9230769230769231,24,332,2138041,189,0xbcd5b2501d7d05f6c10638b11b99ddeb1acc4d86f224743fe409583a89ad8426,2,1,1,6818,3,18718,29,2,0.0,0.0,1,0,-0.03417592325042536,-0.47262352958883014,-0.47247828838160033,-0.4729849689896974,-0.3181609890783711,-0.3158958038200811,-0.3873887022696047,-0.6561047829189038,-0.20504147978239345,-0.25653329837275995,-0.33462884204336235,-0.4727876630302857,-0.47320714370011846,-0.47323840014532564,-0.29165019139872556,0.610312509420832,0.6315639682745356,-0.4766288737942323,-0.4790710800735507,-0.1607211497655405,-0.03176604689948889,-0.47839726044388176,-0.16013072614998242,-1.1315787422499086,1.228543480965809,-0.3822066579405921,-0.0,-0.32143342457716034,1.0,1.0,1.5319741859782927,0.0310379827982264,0.07207207207207207,2.689655172413793,3.367567147885776e-05,0.02564102564102564,0.00019147917663954044,2.0,0.25,0
0xe1fb50815a31fec48b89d423c1382b0927d72a8d85499be742c2570d9cf2b939,1,0x90bb9480053f38946c6f1a2508abba2756544c45,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:16:30.000000 UTC,46175,182089886959,14480412,46175,0.0,448,2.0,27,626,11069,0.05655434095220887,4,484,500,0.968,87,150,965240,807,0xe1fb50815a31fec48b89d423c1382b0927d72a8d85499be742c2570d9cf2b939,2,1,1,7183,3,18765,145,2,0.0,0.0,1,0,-0.03417592325042536,-0.47256490221717246,-0.47237354096234274,-0.4729849689896974,0.586729504935495,0.5623188659792125,0.623013381827103,1.860264035606114,-0.20504147978239345,-0.25653329837275995,-0.33462884204336235,-0.47194862988405445,-0.47320714370011846,-0.47322379574980544,0.8733307453075418,-0.09233809000573055,-0.08971237977558637,-0.4766288737942323,-0.4790710800735507,-0.1607211497655405,-0.03176604689948889,-0.47839726044388176,-0.16013072614998242,0.28388600600098757,0.12120791299530483,-0.3822066579405921,-0.0,0.5289530231443624,1.0,1.0,1.5409995823472087,0.033358201001811784,0.5761589403973509,3.4482758620689653,0.0005014291767548208,0.004,0.00018068479537446924,2.0,0.25,0
0x92136d44cdce1520d57466247b22c7e9b2734bcff1c162c046add468e2f6ca9d,1,0xb8e15a993252e0852ad1f7f9b4494c6d672392b6,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:15:04.000000 UTC,46175,192508817021,19744898,46175,0.0,30,2.0,106,620,10999,0.05636876079643604,4,39,42,0.9285714285714286,21,121,774515,737,0x92136d44cdce1520d57466247b22c7e9b2734bcff1c162c046add468e2f6ca9d,2,1,1,7156,3,18759,12,2,0.0,0.0,1,0,-0.03417592325042536,-0.4725727192000601,-0.47238529147411845,-0.4729849689896974,-0.39064008204550116,-0.39081459081717723,-0.43550308722659076,1.5752384412748013,-0.20504147978239345,-0.25653329837275995,-0.33462884204336235,-0.4720106953496661,-0.47320714370011846,-0.4732256601407229,-0.46238015626085094,-0.20429889980446855,-0.20700886185725198,-0.4766288737942323,-0.4790710800735507,-0.1607211497655405,-0.03176604689948889,-0.47839726044388176,-0.16013072614998242,0.6802639900842511,0.7831062667723568,-0.3822066579405921,-0.0,-0.3895522356349568,1.0,1.0,1.53703186137507,0.03304904051172708,0.1721311475409836,3.5,5.0354027547526454e-05,0.047619047619047616,0.00018183471224656787,2.0,0.25,0
0x25984e6a09c4fa39e242860be3e25bf9ca82207ad859d20ce540deb5f0fc5fa6,1,0xd72b79bf7b1659679b8a3b527e121e48a3c87c72,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:09:30.000000 UTC,46175,168718595202,2706589,46175,0.0,2,2.0,506,598,10676,0.0560134881978269,4,4,4,1.0,2,4,25678,410,0x25984e6a09c4fa39e242860be3e25bf9ca82207ad859d20ce540deb5f0fc5fa6,2,1,1,6965,3,18736,2,2,0.0,0.0,1,0,-0.03417592325042536,-0.47260138147064834,-0.47243951169274057,-0.4729849689896974,-0.4675118473136694,-0.4698955326474454,-0.7402275252875026,0.24376173632709766,-0.20504147978239345,-0.25653329837275995,-0.33462884204336235,-0.47244975105084464,-0.47320714370011846,-0.47323280697257325,-0.5628095473562188,-0.6560028565786874,-0.6675460004210912,-0.4766288737942323,-0.4790710800735507,-0.1607211497655405,-0.03176604689948889,-0.47839726044388176,-0.16013072614998242,-0.2248116855747848,-1.3591026171043843,-0.3822066579405921,-0.0,-0.45107890368715997,1.0,1.0,1.5328068916008615,0.03191546138656135,0.4,2.0,0.00015576930565832002,0.5,0.00018733608092918696,2.0,0.25,0
0xf5fcf2614313aae0480bb4bf0764faf80f24971f8d45475abc21a2a37f6d5403,1,0xd89ac346bf401409e4af1a203a1fe02344807471,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44.000000 UTC,185331,158207352152,21312850,185331,4e+17,0,2.0,754,582,10472,0.05557677616501146,4,2,2,1.0,1,0,15,195,0xf5fcf2614313aae0480bb4bf0764faf80f24971f8d45475abc21a2a37f6d5403,1,1,1,6834,3,18719,1,2,0.0,0.0,1,0,-0.03417592325042536,-0.47262222675834886,-0.472473756041344,-0.4729849689896974,-0.4719045196147076,-0.4740576874806174,-0.756265653606498,-0.6316740176905056,-0.2152181520165524,-0.25653329837275995,-0.33462884204336235,-0.4727508834951084,-0.47320714370011846,-0.47323808941350604,-0.5728524864657556,-0.6714457268957547,-0.6833288271069572,-0.4766288737942323,-0.4790710800735507,-0.1607211497655405,-0.03176604689948889,-0.47839726044388176,-0.012912101119737245,-0.6247016268235539,0.980243242272232,0.10807334057931775,-0.0,-0.45547366569088876,1.0,1.0,1.5323383084577114,0.03108974358974359,1.0,2.0,0.125,0.5,9.549274255156608e-05,1.0,0.25,0
0x64615a22c6566ade80a2c7b9ed53e6f88da0f2c4d5e29441d6222b31508fbc16,1,0xb1843101808f703a2bf7a17d22be2f81b9c6198c,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:12:09.000000 UTC,185331,162179650313,10400094,185331,4e+17,973,2.0,307,609,10837,0.05619636430746516,4,914,1009,0.9058473736372646,189,252,1616661,580,0x64615a22c6566ade80a2c7b9ed53e6f88da0f2c4d5e29441d6222b31508fbc16,1,1,1,7068,3,18748,206,2,0.0,0.0,1,0,-0.03417592325042536,-0.47258705033535425,-0.47241248551565646,-0.4729849689896974,1.5311540496587048,1.6215872710214885,2.25890247036463,0.9359667511317142,-0.2152181520165524,-0.25653329837275995,-0.33462884204336235,-0.472212982793141,-0.47320714370011846,-0.4732290781907383,1.485950030989286,0.30145510307948586,0.3109136087110866,-0.4766288737942323,-0.4790710800735507,-0.1607211497655405,-0.03176604689948889,-0.47839726044388176,-0.012912101119737245,-0.4735794359781159,-0.3918062287626699,0.10807334057931775,-0.0,1.6825780491231723,1.0,1.0,1.53324844368987,0.03248173235905915,0.7470355731225297,4.898058252427185,0.0005653624567163699,0.0009910802775024777,9.227646027498385e-05,1.0,0.25,0
0xfe9ca2033a4d32d0dd1a5bf736f3b347b872dcdc12fba3968e8345d3fcab7272,1,0xf8cc874fe4696131725018138fc4bb44866433e0,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-02 18:16:30.000000 UTC,304225,182089886959,24133371,219478,1.24e+18,978,2.0,26,1988104,15435528,0.12880051787020178,1320,945,1047,0.9025787965616046,165,310,1995698,172,0xfe9ca2033a4d32d0dd1a5bf736f3b347b872dcdc12fba3968e8345d3fcab7272,451,91,10,1133375,1331,8353420,119,8,6.0,3.0,1,4,-0.03417592325042536,2.1167820170604115,2.116844846368554,2.1166661062918997,1.5992404703247967,1.7006682128517567,1.873987390708741,-0.7253252843993655,4.364284353354961,4.084500226782662,1.2733185754825467,2.1168525126376583,2.1166184297710053,2.1166187179593,0.6122143284595853,0.5253767226769618,0.5440225701937883,2.036121397971286,2.07140393656131,0.5314729771552245,-0.03176604689948889,2.0868464279903383,0.11287055434855711,0.28388600600098757,1.334864416436928,0.2283814200689507,0.0,1.6935649541324944,0.1,0.990990990990991,13.619082827837213,0.23799877918280427,0.5305466237942122,8.798319327731093,0.0004735183011065296,0.43075453677172876,2.9218307271380676e-05,4.956043956043956,0.06893939393939394,0
0x26aedf3bbec0ca8dee7355485ff88bcd628059cb0df7011f0f7075b98f9a1d42,1,0x947d2f677adc468391ae5224caa5efe4f5dd40e0,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:14:15.000000 UTC,96142,171289890062,19039316,86542,0.0,95,2.0,133,619,10974,0.05640605066520867,4,117,118,0.9915254237288136,39,220,1411836,708,0x26aedf3bbec0ca8dee7355485ff88bcd628059cb0df7011f0f7075b98f9a1d42,2,1,1,7147,3,18758,28,2,0.0,0.0,1,0,-0.03417592325042536,-0.4725740220305414,-0.4723894880854669,-0.4729849689896974,-0.21932586230501194,-0.23265270715664094,-0.14681677748467428,1.457156409337543,-0.20504147978239345,-0.25653329837275995,-0.33462884204336235,-0.4720313838382033,-0.47320714370011846,-0.4732259708725425,-0.30169313050826235,0.17791214054294735,0.18494558174882594,-0.4766288737942323,-0.4790710800735507,-0.1607211497655405,-0.03176604689948889,-0.47839726044388176,-0.10726866460117201,-0.12698929238993095,0.6943941751731542,-0.23998402506631286,-0.0,-0.24672247051377075,1.0,1.0,1.5354694277319154,0.03299749453595607,0.17647058823529413,4.214285714285714,8.287075632668643e-05,0.01694915254237288,0.00018224895206852561,2.0,0.25,0
0xf1794dda4734c7e6c4548bfbbac4ee19a4c2e1571b08ce8e9f01c35eef705b73,1,0x8341217591ab5deb2dd50d9c043b64bfeda7cbb3,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-02 18:04:43.000000 UTC,303528,270000000000,1782083,216630,1.33e+18,482,2.0,948,1988050,15434478,0.12880578144592905,1320,514,523,0.982791586998088,101,117,747053,10,0xf1794dda4734c7e6c4548bfbbac4ee19a4c2e1571b08ce8e9f01c35eef705b73,169,61,10,1133285,1331,8353365,169,8,6.0,3.0,1,4,-0.03417592325042536,2.116711664214422,2.1166685886919185,2.1166661062918997,0.6526195894510678,0.6101836465606907,0.847547178293038,-1.3849559455661178,1.494462783322146,2.6374890517308547,1.2733185754825467,2.1166456277522863,2.1166184297710053,2.116601627709223,1.1143612839364248,-0.21974177012153587,-0.22389807926937258,2.036121397971286,2.07140393656131,0.5314729771552245,-0.03176604689948889,2.0868464279903383,0.11213317053725123,3.628340108328889,-1.475339795711566,0.21834723228125413,0.0,0.603663977207752,0.1,0.990990990990991,13.619237879262498,0.23799388174778885,0.8559322033898306,3.094674556213018,0.0006880359384997604,0.3231357552581262,1.0949511865577832e-05,2.7704918032786887,0.04621212121212121,0
