transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x413b58f41792c11784c878661ed24cffdf7401e19879136063e57292bd70f5fd,1,0x5d925abf230d358f47eeeafa8b845c3902eeb442,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:44:46.000000 UTC,126453,22000000000,12662874,84302,0.0,21,,56,15399,19784,0.7783562474727053,31,24,26,0.9230769230769231,8,25,161633,945,0x413b58f41792c11784c878661ed24cffdf7401e19879136063e57292bd70f5fd,11,5,4,1935,30,191933,6,4,3.0,1.0,1,2,-0.03292039959328829,0.5253592258664884,0.4601440604309724,1.1503104471035748,-0.4482605505819005,-0.4632510147969855,-0.6162201773643138,1.5535125191092736,-0.5193057499938254,-0.4976304809787608,-0.047132140728925034,0.3076108022407753,1.1503104471035748,1.154740854868414,-0.4208813369055192,-0.5068530705839608,-0.5177296617472631,0.445628860483438,-0.045420781054720874,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,-0.12380113049307173,-0.3870601039024218,0.8291296124138318,-0.3745767064791783,-0.0,-0.44422722495254124,0.25,1.0,10.224289405684754,0.0802307043046047,0.3076923076923077,4.333333333333333,0.00014848361112142246,0.4230769230769231,0.0005560048524059846,2.2,0.16129032258064516,0
0x481f8569a486803961631df698beb5e29dfc22d2fd41ab2da8f175fca3c4bb14,1,0x923bb9097d3af0bbccc827ad99f688241954d048,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 22:00:04.000000 UTC,163809,19000000000,4813465,109206,0.0,22,,563,14936,19277,0.7748093583026404,28,29,29,1.0,7,21,140043,438,0x481f8569a486803961631df698beb5e29dfc22d2fd41ab2da8f175fca3c4bb14,2,1,4,1907,27,175252,10,4,3.0,1.0,1,2,-0.03292039959328829,-0.012794825279828389,-0.002343056948854525,-0.2516742661820756,-0.4364051964921719,-0.4562844321389032,-0.6399492741220885,-0.20461954881956781,-0.6823379088748787,-1.0000386169037554,-0.047132140728925034,0.042531031437357626,-0.2516742661820756,-0.07156792050585163,-0.35475040649208517,-0.5232763529138682,-0.5319856780103817,0.445628860483438,-0.045420781054720874,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,-0.03289498660203527,-0.6687430166861753,-1.1937175427094644,0.17569633532152232,-0.0,-0.4418550813477519,0.25,1.0,10.108547456738332,0.08522535990824694,0.3181818181818182,2.9,0.00020707777555625375,0.06896551724137931,0.00010375058359703273,2.0,0.03571428571428571,0
0x3aa8aa240d14689c04e7c8a6e8694898e8e5d6bb9ada5e02ea1a456219fa23db,1,0xb3b0620276e2d287883d3d220822e9d37e105409,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 09:08:52.000000 UTC,219336,18000000000,9419327,146224,0.0,65,,233,15235,19607,0.777018411791707,30,76,77,0.987012987012987,17,63,402040,768,0x3aa8aa240d14689c04e7c8a6e8694898e8e5d6bb9ada5e02ea1a456219fa23db,2,1,3,1922,29,184612,17,3,2.0,1.0,1,1,-0.03292039959328829,0.3347387844237326,0.2986840608723346,0.6829822093416913,-0.32496486804872304,-0.3448191096095862,-0.4026583065443413,0.9397267675838201,-0.6823379088748787,-1.0000386169037554,-0.25733307192622884,0.1845380515106171,0.6829822093416913,0.6165353189583966,-0.23902127826857558,-0.3508318884498399,-0.35898736893727934,-1.4093012712788735,-0.39991578319273713,-0.0065972476746163295,-0.03165444689164871,-1.5564433064360716,0.1022304404200651,-0.7626373209474265,-0.006754951820074537,0.9936375279563735,-0.0,-0.33985290634181164,0.3333333333333333,1.0,10.201352757544225,0.08252398260144193,0.265625,4.529411764705882,0.0001890354466335523,0.025974025974025976,0.00010200438618860611,2.0,0.03333333333333333,0
0x8a4c3b4eea63a3bc28642ac1a2d123b8536331dbfefb18cb4956366b319ce824,1,0xdf223a269ce2a5b6845a0ef4a92ecc4fdae69dd5,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 15:14:03.000000 UTC,126453,22000000000,8605329,84302,0.0,49,,627,14878,19213,0.7743715192838182,28,46,55,0.8363636363636363,15,118,762677,374,0x8a4c3b4eea63a3bc28642ac1a2d123b8536331dbfefb18cb4956366b319ce824,30,9,4,1902,27,173443,10,4,3.0,1.0,1,2,-0.03292039959328829,-0.08020937164372985,-0.060724073738418476,-0.2516742661820756,-0.39609699258709463,-0.39590738243552315,-0.45011650005989073,-0.4265533798796188,-0.17512674791160182,0.004777654946233769,-0.047132140728925034,-0.0048046419203955325,-0.2516742661820756,-0.20455710428692267,-0.35475040649208517,-0.1250117564136124,-0.1208564316013694,0.445628860483438,-0.045420781054720874,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,-0.12380113049307173,-0.3870601039024218,-0.21652788358806532,-0.3745767064791783,-0.0,-0.3778072040184406,0.25,1.0,10.101472134595163,0.08577984825073222,0.12605042016806722,5.5,6.0313789043344636e-05,0.5454545454545454,0.001561442773122365,3.3333333333333335,0.32142857142857145,0
0x5083432903c18cf98538a97a9ae638a0ea9cc1195f6893717095428674f5b705,1,0xe1f9507f8cd6f74533e7d106d95e442157814e26,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 19:50:49.000000 UTC,126471,22000000000,2923616,84314,0.0,20,,578,14922,19263,0.7746456938171624,28,29,31,0.9354838709677419,11,148,961445,423,0x5083432903c18cf98538a97a9ae638a0ea9cc1195f6893717095428674f5b705,10,5,4,1904,27,174687,8,4,3.0,1.0,1,2,-0.03292039959328829,-0.029067301988356328,-0.015113904371571639,-0.2516742661820756,-0.4364051964921719,-0.4516400437001816,-0.5450328870909896,-0.25663529047426725,-0.5374204343139424,-0.4976304809787608,-0.047132140728925034,0.01412962742270573,-0.2516742661820756,-0.11310406690513584,-0.38781587169880216,-0.0018371389393064541,0.010391360922370953,0.445628860483438,-0.045420781054720874,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,-0.12375732733989583,-0.3870601039024218,-1.6807447409689265,-0.3743115572460588,-0.0,-0.44659936855733057,0.25,1.0,10.117121848739496,0.08542086462722111,0.0738255033557047,3.875,3.0162900464508666e-05,0.3225806451612903,0.0005191299382235374,2.0,0.17857142857142858,0
0xc415e30f375f40c96a166aa7f6bac60d0673ab6146ff4441600af445b951d85d,1,0xe88a58e26570e6d56ff3d3d750250fc9087b5439,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-18 20:44:49.000000 UTC,201303,20000000000,11492691,87102,0.0,559,,353,15126,19487,0.7762097808795607,29,587,615,0.9544715447154472,126,325,2113042,648,0xc415e30f375f40c96a166aa7f6bac60d0673ab6146ff4441600af445b951d85d,5,2,5,1914,28,181287,85,4,4.0,1.0,1,2,-0.03292039959328829,0.20804593005019364,0.1892196543919022,0.21565397157980784,0.8866523199215404,0.9045213804065081,2.183813240053103,0.5236008343462245,-0.6279938559145275,-0.8744365829225067,0.16306879046837877,0.10880097413821205,0.21565397157980784,0.37209693528119303,0.8852045387598032,0.7248931041590986,0.7707982882293912,0.445628860483438,0.30907422108329535,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,0.0583469814633497,-0.5748487124249242,0.5275653350875203,-0.3127085520846247,-0.0,0.8319860344241071,0.2,1.0,10.181295715778475,0.08343630025153347,0.38650306748466257,7.235294117647059,0.0002777984167856499,0.008130081300813009,0.0002565813106173346,2.5,0.06896551724137931,0
0x21ba8987e0c14a50c2a5b61e0c72b21844eb463945cb15f9edfc5592a5d489ce,1,0xfe052972a1fdf6c2989ba49a9d99898f39c1704d,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 03:07:39.000000 UTC,126471,35000000000,9631333,84314,0.0,732,,880,14651,18960,0.7727320675105486,27,712,752,0.9468085106382979,67,103,660296,121,0x21ba8987e0c14a50c2a5b61e0c72b21844eb463945cb15f9edfc5592a5d489ce,70,15,4,1887,26,163890,78,4,3.0,1.0,1,2,-0.03292039959328829,-0.3440559582748614,-0.29151153073466346,-0.719002503943959,1.1830361721647555,1.2226619884589338,0.7837965313443946,-1.3038855557888829,0.5494606248930793,0.7583898588337256,-0.047132140728925034,-0.146811661993655,-0.719002503943959,-0.9068487972999529,0.7694754105362936,-0.18659906515076535,-0.18845926629494716,0.445628860483438,-0.045420781054720874,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,-0.12375732733989583,0.8335658514938435,0.047880465186361174,-0.3743115572460588,-0.0,1.2423668780526576,0.25,1.0,10.047694753577106,0.08939478067740145,0.6442307692307693,9.64102564102564,0.0010783026425987094,0.09308510638297872,0.003691983122362869,4.666666666666667,0.5555555555555556,0
0x2f3bad0a477c4b5e706250f2246bc395ec4561c397d67ad794f1d79d2a410a8f,1,0xe73509c8d849c9b049609ceaf3e1c62860d4aa0b,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:42:15.000000 UTC,170881,22000000000,11880011,98921,0.0,85,,58,15397,19782,0.778333838843393,31,108,112,0.9642857142857143,29,91,589600,943,0x2f3bad0a477c4b5e706250f2246bc395ec4561c397d67ad794f1d79d2a410a8f,4,2,3,1935,30,191917,28,3,2.0,1.0,1,1,-0.03292039959328829,0.5230345863366987,0.4583196536562985,1.1503104471035748,-0.24909060187445994,-0.26354231193195926,-0.11790914545104468,1.546577086888647,-0.6461085402346446,-0.8744365829225067,-0.25733307192622884,0.3076108022407753,1.1503104471035748,1.1535646100146288,-0.05716121963163195,-0.23586891214048775,-0.23514029110909404,-1.4093012712788735,-0.39991578319273713,-0.0065972476746163295,-0.03165444689164871,-1.5564433064360716,-0.015685214420928895,-0.3870601039024218,0.6273803861470785,-0.05155865323132887,-0.0,-0.29241003424602546,0.3333333333333333,1.0,10.223255813953488,0.08022697193593097,0.31521739130434784,4.0,0.00018317472324504199,0.03571428571428571,0.00020220402386007482,2.0,0.06451612903225806,0
0xa65080ccd7352655db82c2212ac186643cc5804f8dce52a592ab32af36cfff51,1,0xcf8e02b011b9537fcb685563191063403a46298b,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:42:38.000000 UTC,126453,24000000000,13684615,84302,0.0,171,,57,15398,19783,0.7783450437244098,31,174,196,0.8877551020408163,28,38,241073,944,0xa65080ccd7352655db82c2212ac186643cc5804f8dce52a592ab32af36cfff51,44,16,4,1935,30,191919,31,4,3.0,1.0,1,2,-0.03292039959328829,0.5241969061015936,0.45923185704363545,1.1503104471035748,-0.09259992789004237,-0.06847799750565457,-0.1416382422088194,1.5500448029989602,0.07847883257003659,0.8839918928149743,-0.047132140728925034,0.3076108022407753,1.1503104471035748,1.153711640621352,-0.007563021821556411,-0.45347740301176154,-0.46527491733123066,0.445628860483438,-0.045420781054720874,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,-0.12380113049307173,-0.19927149537991945,1.0924393565133979,-0.3745767064791783,-0.0,-0.08840568423414488,0.25,1.0,10.223772609819122,0.08023134639433097,0.717948717948718,6.32258064516129,0.0007217700788969362,0.22448979591836735,0.0022241318303593996,2.75,0.5161290322580645,0
0x93f5a37765600225631957d23254cf586e19fad7f10c91cf3c4d422edd86b3de,1,0xcbe7b755a6a5943cf64a8b02bbc4f7663067acb9,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-15 10:09:18.000000 UTC,138159,28000000000,7641712,92106,0.0,741,,993,14557,18847,0.7723775667214942,26,752,755,0.9960264900662251,45,51,327804,8,0x93f5a37765600225631957d23254cf586e19fad7f10c91cf3c4d422edd86b3de,177,25,4,1880,25,159380,41,4,3.0,1.0,1,2,-0.03292039959328829,-0.4533140161749776,-0.3945905135037373,-1.1863307417058426,1.2778790048825843,1.229628571117016,0.2617564026733508,-1.6957374762542854,2.4877318471456014,2.014410198646212,-0.047132140728925034,-0.21308160469450943,-1.1863307417058426,-1.238402815460611,0.15776430421202872,-0.40010173543956234,-0.40800587858567544,0.445628860483438,-0.045420781054720874,-0.0065972476746163295,-0.03165444689164871,0.5057408621708719,-0.0953144798776827,0.17630572166508526,-0.464858669648321,-0.2021413218737869,-0.0,1.2637161704957613,0.25,1.0,10.025,0.09133460073659971,0.8653846153846154,18.414634146341463,0.002294046765607602,0.23443708609271524,0.009391415079322969,7.08,0.9615384615384616,0
