transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x7be87ed10a046022e72291b8abb7b44bf82e78b84a496955038eab98da5c3c3b,1,0x3cd751e6b0078be393132286c442345e5dc49699,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:38:10.000000 UTC,250000,186907646318,4163600,63209,0,3846796,2,1478,5382473,116724615,0.046112578739283053,1386,812948,3994509,0.2035163771066732,191,190,1222614,22,0x7be87ed10a046022e72291b8abb7b44bf82e78b84a496955038eab98da5c3c3b,682734,190,1,16396074,1436,8912048,1889877,2,,,1,0
0x6f126715c1baada82a897bd8cb4d7c829bdf882a069aa014f853285aa1c68dca,1,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:38:27.000000 UTC,207128,224000000000,2867775,46097,0,2384682,,1463,5382474,116724635,0.046112579405367171,1386,579274,3384729,0.17114339139115717,188,195,1258457,45,0x6f126715c1baada82a897bd8cb4d7c829bdf882a069aa014f853285aa1c68dca,404153,160,1,16396074,1436,8912049,693658,2,,,1,0
0x245d7248e18ae517a8c8c43334c60996af1031251e9a866549f7053716a36fd8,2,0xc01e5bddd5fe614f5f8adab93f345b87b0c0ffe5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2021-11-03 23:38:27.000000 UTC,217955,190769699951,9467994,184838,0,9780,2,1465,3164547,49518466,0.063906402108659832,517,9881,9889,0.99919102032561435,276,279,1804789,2,0x245d7248e18ae517a8c8c43334c60996af1031251e9a866549f7053716a36fd8,9237,276,12,2801161,516,3338427,90,7,4,2,1,3
0xf04d18b9adac6347ed9d7832b3b8bc6b8917acd789ba054f69965281f952c806,1,0xee700657bc845339d912c1e1f6fc3314b7ddcedc,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:41:49.000000 UTC,46097,219465255185,3411922,41297,0,67,2,1253,5382486,116724811,0.046112612681805928,1386,75,76,0.98684210526315785,20,142,912498,222,0xf04d18b9adac6347ed9d7832b3b8bc6b8917acd789ba054f69965281f952c806,5,5,1,16396095,1436,8912061,23,2,,,1,0
0x7962eb126177afdc796acb4a7cc599255150b9ded6374ba48cc23411d4a52cb1,1,0x72e5263ff33d2494692d7f94a758aa9f82062f73,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:39:36.000000 UTC,92242,209300000000,3629493,46121,0,269989,,1374,5382479,116724719,0.046112589056650458,1386,167605,290551,0.57685225657457728,1083,1090,6875670,114,0x7962eb126177afdc796acb4a7cc599255150b9ded6374ba48cc23411d4a52cb1,56134,817,1,16396092,1436,8912054,68740,2,,,1,0
0x73e858d9ac4b20bc7e1fe579748849e8c569bfacb3679229d696445208d0573e,3,0x5b2351b77b629cc85cbb5534be8af73627037a53,0xe592427a0aece92de3edee1f18e0157c05861564,2021-11-03 23:38:58.000000 UTC,167384,180501552332,7409232,131285,0,4408,2,1430,982431,3902490,0.25174465533543966,184,4449,4534,0.98125275694750769,64,63,405558,1,0x73e858d9ac4b20bc7e1fe579748849e8c569bfacb3679229d696445208d0573e,240,51,7,938775,183,1177013,62,5,3,3,2,2
0x159f7e1a4c0da2ee02b685ef28878e1faedb7825dfcc083b479b6a3f3ef676e5,1,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:40:25.000000 UTC,207128,224000000000,5468163,63197,0,2384723,,1287,5382483,116724788,0.046112596066569853,1386,579280,3384779,0.17114263590030546,188,195,1258466,197,0x159f7e1a4c0da2ee02b685ef28878e1faedb7825dfcc083b479b6a3f3ef676e5,404174,160,1,16396094,1436,8912058,693665,2,,,1,0
0xb9a56067e7193d4d35db0dbf23fec51ef1a4d4aae4d042eeabf5822a2f5b25e2,1,0x3cd751e6b0078be393132286c442345e5dc49699,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:41:52.000000 UTC,250000,199844154863,5134032,46109,0,3846912,2,1245,5382487,116724827,0.046112614928099233,1386,812962,3994620,0.20351422663482382,191,190,1222628,226,0xb9a56067e7193d4d35db0dbf23fec51ef1a4d4aae4d042eeabf5822a2f5b25e2,682749,190,1,16396095,1436,8912062,1889937,2,,,1,0
0x0e9e3ef5a2b3c83dd0fa2681c6cc4539d5791391e0dd7ec99faa88b7abf4052a,1,0xe59cd29be3be4461d79c0881d238cbe87d64595a,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:41:25.000000 UTC,250000,226457930695,1678910,63221,0,277102,,1275,5382484,116724793,0.04611260265846006,1386,196553,277154,0.709183342113049,161,160,1031786,201,0x0e9e3ef5a2b3c83dd0fa2681c6cc4539d5791391e0dd7ec99faa88b7abf4052a,277088,161,1,16396094,1436,8912059,11,2,,,1,0
0x1812d7ccadf14909d99b50597147c9d6379ab594950cce3d1a8c0fc288621d6d,1,0x3cd751e6b0078be393132286c442345e5dc49699,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:40:25.000000 UTC,250000,180528635387,24185417,63197,0,3846868,2,1289,5382483,116724788,0.046112596066569853,1386,812958,3994588,0.20351485559962629,191,190,1222624,196,0x1812d7ccadf14909d99b50597147c9d6379ab594950cce3d1a8c0fc288621d6d,682745,190,1,16396094,1436,8912058,1889919,2,,,1,0
