transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x919760a1b99e083a684f44d0192cbfd526d56b3206e26f1680d6e4e95defec3a,3,0x8176d7b793a73626880bc43dfd9a9f97d338ca88,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2021-11-03 23:42:40.000000 UTC,218624,185361316552,7437955,184348,0,1015,2,1166,3164564,49518697,0.0639064472960587,517,1052,1063,0.98965192850423334,77,8,0x919760a1b99e083a684f44d0192cbfd526d56b3206e26f1680d6e4e95defec3a,192,35,12,2801178,516,3338444,175,101,651344,7,4,2,1,3
0xc08d4152e9e1c4e0f92114001c950edc7dc7333b2f923a909b2b680c3c75d850,1,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:43:22.000000 UTC,207128,238000000000,3262013,63209,0,2384774,,1107,5382494,116724972,0.0461126176153634,1386,579289,3384836,0.17114241280818332,188,337,0xc08d4152e9e1c4e0f92114001c950edc7dc7333b2f923a909b2b680c3c75d850,404204,160,1,16396104,1436,8912069,693672,195,1257113,2,,,1,0
0x86d5645859f8429f3e30677f7dc9bbfd875f82c1414ed9bde355bc36998f0c8c,1,0x46340b20830761efd32832a74d7169b29feb9758,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:39:36.000000 UTC,350000,212600918185,3402835,63209,0,3848265,,1364,5382479,116724719,0.046112589056650458,1386,1011280,3849836,0.2626813194120477,1064,96,0x86d5645859f8429f3e30677f7dc9bbfd875f82c1414ed9bde355bc36998f0c8c,751241,791,1,16396092,1436,8912054,850123,1063,6709962,2,,,1,0
0xbe270ab67cc95aa211570ac56bf2ef5257fdc49b3a1370b4949cdf093f19f418,3,0x26bc83cfa1708e45c1bed3fa8b369baf648253ac,0xdd56a5c540c68fc348dfa04ae6bc51bd301363a4,2021-11-03 23:42:07.000000 UTC,384726,627940509489,831987,122166,0,84,2,1217,20698,42523,0.48674834795287258,14,88,88,1.0,11,3,0xbe270ab67cc95aa211570ac56bf2ef5257fdc49b3a1370b4949cdf093f19f418,79,11,9,502,13,86747,2,10,63997,5,3,3,2,2
0x4c290a2b6d213ee218aec49dbd0167124311cf8131089626170e0a7bed476e9f,1,0xd30b438df65f4f788563b2b3611bd6059bff4ad9,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:39:07.000000 UTC,420000,224000000000,2162603,46109,0,199204,,1416,5382478,116724683,0.046112594711437339,1386,124050,199212,0.62270345159930129,580,68,0x4c290a2b6d213ee218aec49dbd0167124311cf8131089626170e0a7bed476e9f,194446,533,1,16396074,1436,8912053,7,589,3813950,2,,,1,0
0xa726c2426adef2c37d1179f346648c94b7b4ca66793c34d5779e303fd102d1d6,1,0xd30b438df65f4f788563b2b3611bd6059bff4ad9,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:39:07.000000 UTC,420000,224000000000,2317821,46109,0,199206,,1413,5382478,116724683,0.046112594711437339,1386,124050,199212,0.62270345159930129,580,94,0xa726c2426adef2c37d1179f346648c94b7b4ca66793c34d5779e303fd102d1d6,194446,533,1,16396074,1436,8912053,7,589,3813950,2,,,1,0
0xc0d620e18b28a0204541d91e9eaefa0fefa6e72a3964ca205cff5b3387ede99a,1,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:42:40.000000 UTC,250000,185361316552,8147772,63209,0,3543080,2,1182,5382491,116724896,0.046112621937996846,1386,797866,3716900,0.21465899001856387,191,291,0xc0d620e18b28a0204541d91e9eaefa0fefa6e72a3964ca205cff5b3387ede99a,575838,177,1,16396097,1436,8912066,1892593,189,1216033,2,,,1,0
0xfb9e3067a1deb0a59ee3a79b969f0ccb9dd85b28fd1d8a66ae0373fec8be62ec,1,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:41:52.000000 UTC,200000,221980000000,1857981,46121,0,832490,,1238,5382487,116724827,0.046112614928099233,1386,601813,832522,0.72287939537934132,1278,235,0xfb9e3067a1deb0a59ee3a79b969f0ccb9dd85b28fd1d8a66ae0373fec8be62ec,375737,854,1,16396095,1436,8912062,17,1283,8013693,2,,,1,0
0xbaa114a42970365812b9c839b9f77307e39af117fb34f29f994468dd29271b0c,1,0xd30b438df65f4f788563b2b3611bd6059bff4ad9,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:42:40.000000 UTC,420000,236000000000,1873496,46109,0,199214,,1175,5382491,116724896,0.046112621937996846,1386,124054,199219,0.62270164994302757,580,304,0xbaa114a42970365812b9c839b9f77307e39af117fb34f29f994468dd29271b0c,194452,533,1,16396097,1436,8912066,7,589,3813963,2,,,1,0
0xc31fc8feb50ae4fd1e71f128903232d98b1a705723fd04337ac2a54b595703ee,1,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0xdac17f958d2ee523a2206206994597c13d831ec7,2021-11-03 23:43:03.000000 UTC,93865,182271853199,8135088,63221,0,2420014,2,1128,5382493,116724922,0.046112628800899946,1386,1172120,2621999,0.44703296988290231,922,328,0xc31fc8feb50ae4fd1e71f128903232d98b1a705723fd04337ac2a54b595703ee,842187,852,1,16396102,1436,8912068,189292,961,6154196,2,,,1,0
