transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x47f3ebfc583637482209d737b81ba0e753cb53a5efc651e4f03365657a19ef38,1,0xe6870546561a87b4d5e368c16f4456b16e56b8e5,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-17 23:23:35.000000 UTC,218113,10296703067,4783713,143106,3.333e+16,98,2,710,1815,1946,0.9326824254881808,196,113,113,1.0,51,992,6890480,183,0x47f3ebfc583637482209d737b81ba0e753cb53a5efc651e4f03365657a19ef38,2,2,5,598,268,1921707,33,4,4.0,1.0,1,2,-0.3906852997241872,-0.3573285092186483,-0.3505150710356409,-0.2309708038332746,-0.7133259876177875,-0.7146659660953498,-0.8751265524221784,-0.2946228823755067,-0.2908061071142291,-0.367952690355374,-0.1644911132900846,-0.3876038539132807,-0.2085213114602662,-0.2043073617628856,-0.7151048695996388,0.2650030563160812,0.2918707461539155,-0.1174479637285594,0.422904599409968,-0.3789161555986187,-0.0447661481035845,0.2806495461770843,-0.0874826511107213,-0.8124314003839174,-0.9023041467562412,-0.1719428368215663,-0.14914261,-0.7140443034364936,0.2,0.7286245353159851,3.254180602006689,0.0009444723131714,0.0513595166163142,3.4242424242424243,1.6399435685259128e-05,0.0176991150442477,0.001027749229188,1.0,0.010204081632653,0
0xab3b06b35c63ca99c132feda2d17b87565d82d68d9642ea082d7ccccd8215fdc,1,0x68647dda6e001b620d36a6472e975f6405262c7f,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-18 17:47:23.000000 UTC,192408,18046944823,4649723,142132,3.552e+16,3521,2,310,2126,2307,0.9215431296055484,197,3831,3990,0.9601503759398496,715,1343,9148453,540,0xab3b06b35c63ca99c132feda2d17b87565d82d68d9642ea082d7ccccd8215fdc,2,1,5,765,269,1927200,883,4,4.0,1.0,1,2,-0.3906852997241872,-0.3558177413192281,-0.349169422442851,-0.22246797642077,1.2627625872127113,1.287558242142209,1.579273118154317,1.4182450622562213,-0.2908061071142291,-0.4009914521723242,-0.1644911132900846,-0.384701146783527,-0.1986635460624377,-0.1966586614727022,1.512089255939236,0.9059362644727486,0.9090894952463904,-0.1174479637285594,0.422904599409968,-0.3789161555986187,-0.0447661481035845,0.2806495461770843,-0.2050392476982028,-0.1309019692143778,-0.929489064320128,-0.1776888143093332,-0.13529204,1.1579360794368054,0.2,0.7296296296296296,3.015686274509804,0.0011031542636185,0.5319940476190477,4.5186862967157415,0.0004187592788901,0.000501253132832,0.00086692674469,2.0,0.0050761421319796,0
0x31c80efee3ea231c8c4ac640c6e05a94405654bd537f6958dfd1ff8d2b37504b,1,0x2d7d5a9ad74f16d310ab59dc676e9978a1ceda02,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-17 22:41:59.000000 UTC,379471,15705854170,17008999,249831,2.222e+16,1154,2,723,1806,1936,0.9328512396694216,196,1156,1162,0.9948364888123924,343,1256,8579789,173,0x31c80efee3ea231c8c4ac640c6e05a94405654bd537f6958dfd1ff8d2b37504b,1,1,6,594,268,1921501,248,4,5.0,1.0,1,2,-0.3906852997241872,-0.3573722291900142,-0.3505523466199287,-0.2309708038332746,-0.1589794616500064,-0.1729241052645014,0.2042178810241117,-0.342602376622894,-0.2947270707114385,-0.4009914521723242,0.0207466269014521,-0.3876733798325563,-0.2085213114602662,-0.2045942054293297,-0.1517557672574528,0.7470724778356258,0.7536447300813848,-0.1174479637285594,0.972131351890446,-0.3789161555986187,-0.0447661481035845,0.2806495461770843,0.6504553886544154,-0.3367693771336484,1.57805552265892,0.4576664520715749,-0.21940736,-0.1365358943467466,0.1666666666666666,0.7286245353159851,3.259259259259259,0.0009398897320949,0.2728719172633254,4.685483870967742,0.0001347352324474,0.0008605851979345,0.0005165289256198,1.0,0.0051020408163265,0
0x64a112b03e97e2c0dc06a0e425e3c347f53c2d1c88f88b09f5f894dc54b247d8,2,0xf3772ac6a4a92d74d2e20512bdf36c56fe82a445,0x3638a3e2dfb3948597ad18b5dadeb0282501bbed,2024-10-17 20:03:59.000000 UTC,53309,19486006248,6209718,53309,0.0,6149,2,762,3742,4012,0.9327018943170488,172,6415,6477,0.990427667129844,808,1058,7307789,81,0x64a112b03e97e2c0dc06a0e425e3c347f53c2d1c88f88b09f5f894dc54b247d8,52,12,3,121,259,1856412,1071,3,2.0,1.0,1,1,0.4115432418039177,-0.3479675775717586,-0.3428139353217798,-0.4350386617333849,2.636138831796361,2.5719357520433714,1.9230369274368684,-0.7840137236988576,-0.0947579272537594,-0.0375650721858723,-0.534966593673158,-0.3958948197868887,-0.2972412000407227,-0.2952270569108049,2.004692191940775,0.3855204116959673,0.4059424994322017,-0.5399226533996372,-0.6755489055509879,-0.3789161555986187,-0.0447661481035845,-0.6674908125292816,-0.8411802719628241,-0.0043558890693293,-0.6129853291527622,-0.7016877449006238,-0.35993686,2.5951445066033347,0.6666666666666666,0.6615384615384615,33.15702479338843,0.0020157152530175,0.7629839471199245,6.047619047619048,0.0008778303700571,0.0080284082136791,0.0129611166500498,4.333333333333333,0.0697674418604651,0
0x0c3ed4ea1562e04c7b85d40682a75acabf12bc0f79ea2d2f5303998090109623,1,0xc10fa265ce69337eb0ecf7b02d652e8d28b61a17,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-18 13:59:23.000000 UTC,357004,48199405417,2932753,234971,5.328e+16,1393,2,501,1987,2126,0.9346190028222012,197,1358,1421,0.955665024630542,243,2176,14355101,363,0x0c3ed4ea1562e04c7b85d40682a75acabf12bc0f79ea2d2f5303998090109623,1,1,6,673,269,1926067,200,4,5.0,1.0,1,2,-0.3906852997241872,-0.3564929719881008,-0.3498441105184603,-0.22246797642077,-0.0516180059975694,-0.0391670585960651,-0.1654206235807821,0.5690080140774654,-0.2947270707114385,-0.4009914521723242,0.0207466269014521,-0.3863002429268644,-0.1986635460624377,-0.1982363016381451,-0.2775267296408246,2.4270113710097965,2.332330944778708,-0.1174479637285594,0.972131351890446,-0.3789161555986187,-0.0447661481035845,0.2806495461770843,0.547707127400537,2.520601037266905,-1.2778410899165638,0.3700019495374725,-0.022969626,-0.0058308661531391,0.1666666666666666,0.7296296296296296,3.1589895988112926,0.001031635435509,0.1116214974735875,7.105,9.460051206881008e-05,0.0007037297677691,0.0004703668861712,1.0,0.0050761421319796,0
0xcade8623d68ecf818a060b49286c2110979f21e08542e9448cf6120608b0837c,1,0x2ec7b0b01d7c72a31f3834fe4f208c4d04d1cdac,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-18 17:44:11.000000 UTC,336037,19818456301,3405897,221103,8.88e+16,6475,2,354,2110,2261,0.9332153914197258,197,6754,6984,0.9670675830469644,943,1180,8089550,498,0xcade8623d68ecf818a060b49286c2110979f21e08542e9448cf6120608b0837c,1,1,6,746,269,1927184,1697,4,5.0,1.0,1,2,-0.3906852997241872,-0.3558954657127674,-0.349340890130575,-0.22246797642077,2.8163147400447577,2.833769044170388,2.4220489086534758,1.2167311864171944,-0.2947270707114385,-0.4009914521723242,0.0207466269014521,-0.3850313949000858,-0.1986635460624377,-0.1966809405924261,3.644955159690582,0.6082949170951508,0.619637502210925,-0.1174479637285594,0.972131351890446,-0.3789161555986187,-0.0447661481035845,0.2806495461770843,0.4518188114834109,0.0248786177559533,-1.1818460109118054,0.2881896129868041,0.2016752,2.773428352591268,0.1666666666666666,0.7296296296296296,3.0308310991957104,0.0010948611575951,0.7984758679085521,4.11549793753683,0.0008349041868949,0.0001431844215349,0.0004422821760283,1.0,0.0050761421319796,0
0x5732055eb93b09597a53931e5d97e07277a8f885474e9f4f4dfbf5b35396f482,1,0x60882f5ea95fed716c44a228c7b340f54fccd512,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-18 17:47:59.000000 UTC,177727,17406349819,16593773,139904,1.111e+16,595,2,295,2129,2319,0.9180681328158689,197,590,619,0.9531502423263328,254,1281,8741429,550,0x5732055eb93b09597a53931e5d97e07277a8f885474e9f4f4dfbf5b35396f482,12,10,5,767,269,1927203,163,4,4.0,1.0,1,2,-0.3906852997241872,-0.3558031679954395,-0.3491246917417057,-0.22246797642077,-0.459804134418716,-0.4533491104419568,-0.1247603880742438,1.4662245565036085,-0.2515964711421352,-0.1036425958197726,-0.1644911132900846,-0.3846663838238892,-0.1986635460624377,-0.196654484137754,-0.3744751798113403,0.7927229912370979,0.7978291550516159,-0.1174479637285594,0.422904599409968,-0.3789161555986187,-0.0447661481035845,0.2806495461770843,-0.2721798193574448,-0.1872336763315369,1.4938112911462518,-0.1908325903285782,-0.28967214,-0.4422434707493684,0.2,0.7296296296296296,3.0234680573663626,0.0011047092056679,0.1981279251170047,3.7975460122699385,6.749467764427559e-05,0.0193861066235864,0.0051746442432082,1.2,0.0507614213197969,0
0x0c69870e12808d23a4178e0ba431319cf31865b95a613ebbebbdd133607a6c3f,1,0xae1d36f8636cd643bb1e40422ca948dbe0daefa3,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-18 16:58:47.000000 UTC,157092,24806277234,17475297,122465,1.776e+16,6,2,436,2049,2190,0.9356164383561644,197,11,11,1.0,9,149,1067579,427,0x0c69870e12808d23a4178e0ba431319cf31865b95a613ebbebbdd133607a6c3f,2,2,5,716,269,1926957,4,4,4.0,1.0,1,2,-0.3906852997241872,-0.356191789963136,-0.3496055467790184,-0.22246797642077,-0.7675382077987211,-0.7673424864049271,-1.0303747243562338,0.8760767772607443,-0.2908061071142291,-0.367952690355374,-0.1644911132900846,-0.3855528392946523,-0.1986635460624377,-0.1969970256035077,-0.7910914927062592,-1.2743322555815555,-1.2998239602528134,-0.1174479637285594,0.422904599409968,-0.3789161555986187,-0.0447661481035845,0.2806495461770843,-0.366549800706703,0.4634903243664396,1.6726616327432933,-0.293711544547435,-0.24761446,-0.7643575360465852,0.2,0.7296296296296296,3.058659217877095,0.0010633340218105,0.06,2.75,1.0303677476161036e-05,0.1818181818181818,0.0009132420091324,1.0,0.0101522842639593,0
0x5ebdb787853df3213a060bf162824e279d66e44958e2960969eac67000310a6e,1,0x74b0d3ca2709cb51738c179d66c4b70f3bb18778,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-18 20:17:11.000000 UTC,73227,13633628161,15281035,48431,0.0,363,2,65,2214,2421,0.9144981412639404,197,408,413,0.9878934624697336,138,657,4689699,658,0x5ebdb787853df3213a060bf162824e279d66e44958e2960969eac67000310a6e,2,2,1,785,269,1927947,194,2,0.0,0.0,1,0,-0.3906852997241872,-0.3553902571547619,-0.34874448078197,-0.22246797642077,-0.5565357429768523,-0.559735024008358,-0.5535410534159207,1.984403094375392,-0.2908061071142291,-0.367952690355374,-0.9054420740562314,-0.3843535171871493,-0.1986635460624377,-0.1956185050705965,-0.293248099938746,-0.3467138232636441,-0.3097145233982384,-0.9623973430707148,-1.774002410511944,-1.2420509063927387,-0.0447661481035845,-1.6156311712356473,-0.7500893444845337,-0.5189937589827887,1.227472950128404,-0.7304648272264214,-0.35993686,-0.5691203182009037,1.0,0.7296296296296296,3.084076433121019,0.0011483712216304,0.2097264437689969,2.1288659793814437,8.699916839030215e-05,0.0048426150121065,0.0008261049153242,1.0,0.0101522842639593,0
0xb600ab0620b9754d9949837c674f644901edbe6691453aaeedb216af3d580ca4,1,0x21e800a9068be06a161562e5c911980528aca53f,0xd3607bc8c7927b348bac50dc224c28e3ce933ca6,2024-10-18 09:01:47.000000 UTC,67420,24974645977,3648106,39558,0.0,99,2,593,1914,2046,0.935483870967742,197,108,108,1.0,11,34,242024,283,0xb600ab0620b9754d9949837c674f644901edbe6691453aaeedb216af3d580ca4,16,6,3,635,269,1924583,25,3,1.0,2.0,1,2,-0.3906852997241872,-0.3568475895336239,-0.3501423151927628,-0.22246797642077,-0.7159834493913627,-0.7172481484634664,-1.022981954264136,0.1851720600983666,-0.2359126167532976,-0.2357976430875733,-0.534966593673158,-0.386960739159982,-0.1986635460624377,-0.2003026899925293,-0.7360666966635341,-1.484324617228327,-1.52549008841601,-0.5399226533996372,-1.224775658031466,0.4842185951955012,-0.0447661481035845,0.2806495461770843,-0.7766464795315481,0.4782960887872315,-1.1327047936699857,-0.7828098562294558,-0.35993686,-0.7134974204733404,0.3333333333333333,0.7296296296296296,3.222047244094488,0.0009945006297464,0.3142857142857143,4.32,0.0004462348930895,0.1481481481481481,0.0078201368523949,2.6666666666666665,0.0304568527918781,0
