transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xe1f2e0958b512b2644e20074f3181ee98da7384fc207fec1a85678ce1f09f64c,1,0x5e8d3de624d7eb8fd8b85615b5736e23bff4d6ac,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-03 03:30:35.000000 UTC,21000,11303527663,9353044,21000,1466687800000000.0,38,2,91,902979,26151088,0.0345293090673703,1275,40,40,1.0,38,256,1822047,313,0xe1f2e0958b512b2644e20074f3181ee98da7384fc207fec1a85678ce1f09f64c,1,1,1,17134434,1383,9082286,2,2,0.0,0.0,1,0,0.0,1.0138139132226351,0.951703751183413,1.44316007542631,-0.176527423795101,-0.1779525581183704,-0.0653712976854912,0.95413514410078,-0.1845612128331616,-0.245273582573361,0.0,0.8747392672789762,1.44316007542631,1.006163823913298,-0.1400742043676133,0.1704072996618081,0.201960159954984,0.0,0.0,0.0,0.0,0.0,0.0,-0.4453643958612738,0.4430855422693612,0.0,-0.0,-0.1787125053094186,1.0,0.921242774566474,1.5262300464666647,0.0994219847930372,0.1478599221789883,20.0,2.195331846361896e-05,0.025,3.8239326792063104e-08,1.0,0.0007843137254901,0
0x148e8407025121594387689d2d742af7cc6716e5d1e25e1f83f10dddcf303447,1,0x4427164158dfc1337c4412c2db67c974384e6632,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-03 09:22:47.000000 UTC,21000,10620494477,4226502,21000,1002260150000000.0,2,2,45,903010,26151135,0.0345304324267378,1275,4,4,1.0,2,137,973105,359,0x148e8407025121594387689d2d742af7cc6716e5d1e25e1f83f10dddcf303447,1,1,1,17134471,1383,9084038,2,2,0.0,0.0,1,0,0.0,1.3349166720172587,1.3497565876323707,1.44316007542631,-0.1846538512473124,-0.1859186654131999,-0.312223662813317,1.3495425011155178,-0.1845612128331616,-0.245273582573361,0.0,1.3448844287305717,1.44316007542631,1.288169009374802,-0.1400742043676133,-0.3528828885869804,-0.3550383600327447,0.0,0.0,0.0,0.0,0.0,0.0,-0.6169114266282615,-0.694501289848834,0.0,-0.0,-0.1899707436301628,1.0,0.921242774566474,1.5262294937497634,0.0994062222762363,0.0144927536231884,2.0,4.110549107702552e-06,0.25,3.8239258066619286e-08,1.0,0.0007843137254901,0
0x73a55682582324984b4cc0237ff65edc8574ec1aa9764dd9178bc1f95a66d1e9,1,0x732fb8e0340d9c50c0b3c1a5f809fe18ccaf9837,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-01 05:18:23.000000 UTC,21000,11453781079,4379712,21000,346577760000000.0,4,2,353,902761,26150822,0.0345213240333324,1273,7,7,1.0,3,361,2560416,51,0x73a55682582324984b4cc0237ff65edc8574ec1aa9764dd9178bc1f95a66d1e9,1,1,1,17134262,1381,9068553,2,2,0.0,0.0,1,0,0.0,-1.244263551849233,-1.3011059189319638,-1.047604423060928,-0.1839766489596281,-0.1852548231386308,-0.3053666526708774,-1.2979676284614214,-0.1845612128331616,-0.245273582573361,0.0,-1.310800402171684,-1.047604423060928,-1.204325452309781,-0.1400742043676133,0.6321339363519157,0.6864107351471873,0.0,0.0,0.0,0.0,0.0,0.0,-0.4076275363561824,-0.6605037767983549,0.0,-0.0,-0.189345285945677,1.0,0.9211287988422576,1.526229842872719,0.099548505748546,0.0082872928176795,3.5,2.733929668487594e-06,0.1428571428571428,3.823971575348568e-08,1.0,0.0007855459544383,0
0x179f4c449e178b6185e7c9033c4bdc860669bf12805e72b40d701aed733d885f,1,0xa86ce88218fc0eeb9a7606e03f4e3b8b546d6dfc,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-01 06:25:11.000000 UTC,21000,12344622424,14881037,21000,1335553900000000.0,9,2,314,902782,26150861,0.0345220755829033,1273,13,13,1.0,9,348,2476703,90,0x179f4c449e178b6185e7c9033c4bdc860669bf12805e72b40d701aed733d885f,2,2,1,17134292,1381,9068883,2,2,0.0,0.0,1,0,0.0,-1.0267423281496495,-0.9708067567721906,-1.047604423060928,-0.1826222443842596,-0.1839271385894925,-0.2642245918162397,-0.962730956209796,-0.1834955772217203,-0.2368339263423958,0.0,-0.9296016226163364,-1.047604423060928,-1.1512080372399771,-0.1400742043676133,0.5749677813331404,0.6314858791455609,0.0,0.0,0.0,0.0,0.0,0.0,-0.1838884988517592,1.6697549121568132,0.0,-0.0,-0.1877816417344625,1.0,0.9211287988422576,1.5262294467725892,0.0995471989717808,0.0257879656160458,6.5,5.248911456516403e-06,0.1538461538461538,7.647931744962431e-08,1.0,0.0015710919088766,0
0xa91be59208c17ee6c5bc9b53f2d4d97a090e208aad50c71e8872a27024811217,1,0x96e2954b48e008ef65080b5ae648e2500c57b60a,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-01 21:26:35.000000 UTC,21000,12959699781,9888040,21000,584468750000000.0,805,2,259,902831,26150918,0.0345238740758546,1273,812,812,1.0,191,268,1914574,145,0xa91be59208c17ee6c5bc9b53f2d4d97a090e208aad50c71e8872a27024811217,260,140,1,17134330,1381,9073357,2,2,0.0,0.0,1,0,0.0,-0.5191928061839544,-0.4880618274617527,-1.047604423060928,-0.0022607017643455,-0.0071238127959139,0.9837512541077684,-0.4899612902139141,0.0914384105301191,0.9278386335308024,0.0,-0.4467498351795625,-1.047604423060928,-0.4310646583845155,-0.1400742043676133,0.2231760581406776,0.2626679610284432,0.0,0.0,0.0,0.0,0.0,0.0,-0.0294088974969922,0.5618019021150243,0.0,-0.0,0.0611505166908793,1.0,0.9211287988422576,1.5262293886017135,0.0995035134731815,0.7100371747211895,406.0,0.0004241150124701,0.3201970443349753,9.942289597634777e-06,1.8571428571428568,0.1099764336213668,0
0x9257ec63c88b47a8dcc4db693602e281fc9a762775ea97383593609fe623c3e2,1,0xe83848277c0c0b0fc480feedff77fdf8c3ce1eba,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-01 10:59:11.000000 UTC,21000,12404969117,7039708,21000,671789060000000.0,7,2,295,902800,26150880,0.0345227388141431,1273,9,9,1.0,6,128,914047,109,0x9257ec63c88b47a8dcc4db693602e281fc9a762775ea97383593609fe623c3e2,1,1,1,17134302,1381,9070247,2,2,0.0,0.0,1,0,0.0,-0.8402955649785778,-0.809891780335378,-1.047604423060928,-0.1835251807678386,-0.1848122616222514,-0.2847956222435586,-0.7994105261384914,-0.1845612128331616,-0.245273582573361,0.0,-0.8025353627645537,-1.047604423060928,-0.9316560549514548,-0.1400742043676133,-0.3924594574461325,-0.393786847671989,0.0,0.0,0.0,0.0,0.0,0.0,-0.1687321401082223,-0.0702469481042624,0.0,-0.0,-0.1884070994189483,1.0,0.9211287988422576,1.5262296649142757,0.0995342133974727,0.0465116279069767,4.5,9.84631004061056e-06,0.1111111111111111,3.8239630941673856e-08,1.0,0.0007855459544383,0
0x1d84fe33616d1ddc203e4caee5a3faec0312d6493b9646fb2c11170b0d005a1e,1,0x5145ec850d148f24a8576c0bf75845a63479f5a6,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-01 09:41:23.000000 UTC,21000,13764837519,11711431,21000,402252170000000.0,5069,2,303,902793,26150872,0.0345224816977422,1273,6475,6486,0.9983040394696268,617,803,5369237,101,0x1d84fe33616d1ddc203e4caee5a3faec0312d6493b9646fb2c11170b0d005a1e,1675,530,1,17134298,1381,9069859,12,2,0.0,0.0,1,0,0.0,-0.9128026395451057,-0.8776454546245622,-1.047604423060928,1.2760714832876865,1.2484232091725034,3.90483757478704,-0.8681770230106197,1.5993128007194717,4.219304563607233,0.0,-0.8533618667052668,-1.047604423060928,-0.9941092581244362,-0.1089723286870909,2.5757832069902733,2.5293035828452077,0.0,0.0,0.0,0.0,0.0,0.0,0.1728052718045105,0.9664149124839686,0.0,-0.0,1.39462630001457,1.0,0.9211287988422576,1.5262295543126423,0.0995376995896298,0.7674129353233831,540.5,0.0012059439346886,0.2582485353068147,6.405140142171932e-05,3.160377358490566,0.4163393558523173,0
0x25057d70ff4ba244481d3a1f25387983a4b1794c18c480e4c28786f87fee2c46,1,0xa095122e5782967d656871026eab7b23ea7f93c0,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-01 06:11:47.000000 UTC,21000,11681613165,6192386,21000,3269933600000000.0,6,2,333,902772,26150846,0.0345217129877939,1273,8,8,1.0,6,96,681724,74,0x25057d70ff4ba244481d3a1f25387983a4b1794c18c480e4c28786f87fee2c46,1,1,1,17134280,1381,9068818,2,2,0.0,0.0,1,0,0.0,-1.1303238632446893,-1.0978448960644112,-1.047604423060928,-0.1837509148637334,-0.1850335423804411,-0.2847956222435586,-1.1002639499540527,-0.1845612128331616,-0.245273582573361,0.0,-1.082081134438475,-1.047604423060928,-1.16167055839009,-0.1400742043676133,-0.5331761467231176,-0.5462160679945895,0.0,0.0,0.0,0.0,0.0,0.0,-0.3504064251893393,-0.2582688837021866,0.0,-0.0,-0.1887198282611912,1.0,0.9211287988422576,1.526229640229995,0.0995468097885733,0.0618556701030927,4.0,1.1734937108071436e-05,0.125,3.8239680658897236e-08,1.0,0.0007855459544383,0
0xe09b04d4dc735d2dc6e389e22e8c06ac34941cb24b87e07677d37edc75001732,1,0x8a25ee120f1280469e5f62fadba5d6aac526a385,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-01 21:35:59.000000 UTC,21000,12576288913,3063066,21000,973396500000000.0,4,2,257,902833,26150920,0.0345239479146431,1273,6,6,1.0,3,16,113789,147,0xe09b04d4dc735d2dc6e389e22e8c06ac34941cb24b87e07677d37edc75001732,2,2,1,17134331,1381,9073404,2,2,0.0,0.0,1,0,0.0,-0.4984764991649463,-0.4711234088894566,-1.047604423060928,-0.1842023830555229,-0.1854761038968205,-0.3053666526708774,-0.472769665995882,-0.1834955772217203,-0.2368339263423958,0.0,-0.4340432091943842,-1.047604423060928,-0.4234994507836647,-0.1400742043676133,-0.8849678699155805,-0.9188433551935156,0.0,0.0,0.0,0.0,0.0,0.0,-0.125704359148534,-0.9526693636912532,0.0,-0.0,-0.189345285945677,1.0,0.9211287988422576,1.5262294162520849,0.0995032184720069,0.1764705882352941,3.0,5.272871078302136e-05,0.3333333333333333,7.647914490197669e-08,1.0,0.0015710919088766,0
0x76b29727151c54fe2e839d4a2ccc74b0d9cce88356e2aa8fb793f54644c11970,1,0x8081fca92aa15fbc50721766b6e1d0dc8b18245c,0xa090e606e30bd747d4e6245a1517ebe430f0057e,2023-09-03 06:04:47.000000 UTC,21000,11682722287,7353449,21000,1528493100000000.0,3,2,69,902989,26151111,0.0345296610916453,1275,5,5,1.0,3,19,131269,331,0x76b29727151c54fe2e839d4a2ccc74b0d9cce88356e2aa8fb793f54644c11970,1,1,1,17134454,1383,9083052,2,2,0.0,0.0,1,0,0.0,1.117395448317675,1.1464955647648178,1.44316007542631,-0.1844281171514177,-0.1856973846550102,-0.3053666526708774,1.108859762063069,-0.1845612128331616,-0.245273582573361,0.0,1.128871786982541,1.44316007542631,1.1294606116207822,-0.1400742043676133,-0.8717756802958632,-0.9073745691876572,0.0,0.0,0.0,0.0,0.0,0.0,-0.3501278639279567,-0.0006273818750976,0.0,-0.0,-0.1896580147879199,1.0,0.921242774566474,1.5262296073163464,0.099414701202338,0.15,2.5,3.8089433991010895e-05,0.2,3.8239293160432083e-08,1.0,0.0007843137254901,0
