transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xd837fed5fa17f9a93e046a546e19456e07b6de621a1a93d99db552ed4ab47d32,3,0xaac2b0b3f6481ecd4a6a22c0b610c72bc2c90791,0x3a10dc1a145da500d5fba38b9ec49c8ff11a981f,2024-10-18 19:37:59.000000 UTC,340543,18493366231,1352271,189420,0.0,4,2,252,301170,526546,0.5719728190889305,96,6,6,1.0,1,0,1423,74,0xd837fed5fa17f9a93e046a546e19456e07b6de621a1a93d99db552ed4ab47d32,4,1,16,30958,95,683415,2,7,9.0,4.0,2,6,-0.3454830989567188,-0.6862808409565166,-0.6165554646108068,-0.6817807807941887,-0.1427357593638374,-0.1391520840221285,-0.5499973493361263,-0.0461079977166805,-0.1547074833058365,-0.4381599119039138,0.6318367712273008,-0.5969472358841658,-0.688123987045712,-0.7022942470236496,-0.3764808766416369,-0.661773334460356,-0.6763808930415623,0.8670757035291068,0.5836699151205033,1.1178372043540394,1.3401571479281449,1.2650782518935535,0.451756063038804,-0.2803012574565153,-0.8448647415144923,0.6842736233408868,-0.43956575,-0.1390993064569635,0.1875,1.0,17.008398475353705,0.4406832734381402,1.0,3.0,0.0042134831460674,0.6666666666666666,7.596677213386864e-06,4.0,0.0104166666666666,0
0xd443b5eaf21731765cccdb91485e5f6bf5f37a0ee9500f2ddf8d9dbf2caf9345,3,0xed835d63f453dacd5625ab2022b5ea6ab32ca1f8,0x3a10dc1a145da500d5fba38b9ec49c8ff11a981f,2024-10-18 19:09:11.000000 UTC,340543,20461163823,2720126,189468,0.0,215,2,282,301089,526413,0.5719634583492429,96,234,234,1.0,4,3,27183,67,0xd443b5eaf21731765cccdb91485e5f6bf5f37a0ee9500f2ddf8d9dbf2caf9345,164,4,16,30955,95,683272,48,7,9.0,4.0,2,6,-0.3454830989567188,-0.6863273147101138,-0.6165630559683061,-0.6817807807941887,-0.1417751987239199,-0.1386863552639989,-0.5267972753595697,-0.1526270687549186,-0.1520267655858708,-0.3934320514190189,0.6318367712273008,-0.5969496360207348,-0.688123987045712,-0.7023638232155421,-0.2251733762901493,-0.6535643036356276,-0.6661065870602275,0.8670757035291068,0.5836699151205033,1.1178372043540394,1.3401571479281449,1.2650782518935535,0.451756063038804,-0.1753300485586611,-0.5902469581246924,0.6850349288859564,-0.43956575,-0.1386682563629503,0.1875,1.0,17.00575028266839,0.440656955565345,1.0,4.875,0.0086080047086521,0.7008547008547008,0.0003115424581079,41.0,0.0416666666666666,0
0x3c31ba141d3f72258de9863eb08fb0c6d31c53500c4bcb92c276dd8cf91f16b8,3,0x57a29a7b6054c276cdffb8a2832ca38507d4534b,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-10-18 17:59:35.000000 UTC,267468,16630210458,7513213,192684,0.0,250,2,443,3521421,37323393,0.0943488980222135,530,272,282,0.9645390070921984,34,299,2140533,114,0x3c31ba141d3f72258de9863eb08fb0c6d31c53500c4bcb92c276dd8cf91f16b8,110,25,18,2827370,529,3776220,72,6,12.0,2.0,2,5,-0.3454830989567188,1.1613383133006645,1.4837304032376752,0.7749575211017253,-0.1416151052839336,-0.1385883071043927,-0.2947965355940036,0.5625724082161087,-0.1529315078163592,-0.0803370280247545,0.925215778643556,1.6403096652222242,0.7690477228332645,0.8025001177739539,-0.1462303326285037,0.1563934044042439,0.1767973161095761,0.3820764718238561,1.308601011521725,-0.1905627571570154,1.3401571479281449,0.7947346815021653,-0.0491345730571432,-0.3796903992320409,0.3019566654570951,0.7360424004056169,-0.43956575,-0.1385967551625216,0.1666666666666666,1.0,13.20074592288947,0.9325251355786645,0.1133333333333333,3.9166666666666665,0.0001270710953434,0.3900709219858156,2.9472132932823124e-06,4.4,0.0471698113207547,0
0xc85a477c1bbc2f051b82a6f18d54c4e7debea8077b94b7a4869b6427905a7e13,3,0x22a80422ff3016fcc0f19d8d59a6cbfaa441456b,0x5ddf30555ee9545c8982626b7e3b6f70e5c2635f,2024-10-18 19:21:35.000000 UTC,398288,33166941313,701567,153212,1000000000000.0,289,2,267,269543,347090,0.776579561497018,237,295,295,1.0,8,7,55318,15,0xc85a477c1bbc2f051b82a6f18d54c4e7debea8077b94b7a4869b6427905a7e13,237,8,14,8710,242,1730076,54,7,7.0,4.0,2,6,-0.3454830989567188,-0.7044268336110308,-0.6267984319145167,-0.2085086596713226,-0.1415182066228893,-0.1385617523944994,-0.4958638433908275,-0.9439115964675446,-0.1508036881261364,-0.3337949041058257,0.3384577638110453,-0.6147466486802112,-0.1945658272479941,-0.1930446905034602,-0.2054376153747379,-0.6426189292026563,-0.6548850187844177,0.8670757035291068,0.1003825175196886,1.1178372043540394,1.3401571479281449,1.2650782518935535,0.8475676235090123,0.5024534940855171,-0.9659892833137884,0.1099954738434156,-0.43955678,-0.1385170823963296,0.2142857142857142,0.9753086419753086,39.849598163031,0.1557982679383634,1.0,5.462962962962963,0.0053327066649794,0.8033898305084746,0.0006828200178628,29.625,0.0337552742616033,0
0x42cef1bdef2d31f9085445054df5bf559ac92084f22f6dd673ce052f82c0a6fe,5,0xdead8cd4d07e0551cdad87d11e3ee22216220144,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,2024-10-18 20:34:23.000000 UTC,263051,15087335039,1459792,149336,5000000000000000.0,29,2,134,1728489,5367462,0.3220309710623009,368,40,41,0.975609756097561,8,13,94139,160,0x42cef1bdef2d31f9085445054df5bf559ac92084f22f6dd673ce052f82c0a6fe,18,7,13,140451,368,2632342,13,6,8.0,3.0,1,4,0.5195234570777727,0.1326434986788736,-0.3402462617532467,0.2311980627903473,-0.1425925178649024,-0.1390805905724156,-0.4958638433908275,1.2625548750388162,-0.1544729205053395,-0.3487041909341239,0.1917682601029176,-0.5093478514326465,0.2284840240071925,0.2459499413431885,-0.3402986482967159,-0.6262008675531995,-0.6394013684543943,0.3820764718238561,0.3420262163200959,0.4636372235985119,-0.6791746632034036,0.3243911111107772,-0.0794107816050159,-0.4619943407398691,-0.8248503696052952,0.0485200510790486,-0.39464578,-0.139048234170943,0.3846153846153846,0.997289972899729,38.21590447914219,0.6566351725440036,0.5714285714285714,3.1538461538461537,0.0004248990864669,0.4390243902439024,3.3535402765776453e-06,2.571428571428572,0.0190217391304347,0
0x601b6809c4c43ba2da39d22c90a50f6fa456750e45d87ef6dceb6fd5dedd8b8a,3,0xc93cebcca87539a0759af5c10c58f7004cf8e032,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-10-18 17:21:35.000000 UTC,214762,17207201132,12409148,168356,0.0,5,2,675,3521233,37321029,0.0943498369243784,530,6,6,1.0,1,0,253,62,0x601b6809c4c43ba2da39d22c90a50f6fa456750e45d87ef6dceb6fd5dedd8b8a,3,1,15,2827216,529,3776030,3,6,9.0,2.0,2,5,-0.3454830989567188,1.1612304482923157,1.4835954711389658,0.7749575211017253,-0.1427357593638374,-0.1391520840221285,-0.5499973493361263,-0.2287121194965173,-0.1547242377915863,-0.4381599119039138,0.485147267519173,1.64018645821168,0.7690477228332645,0.8024076738826282,-0.373191583155735,-0.661773334460356,-0.6768475443613668,0.3820764718238561,0.5836699151205033,-0.1905627571570154,1.3401571479281449,0.7947346815021653,-0.4104064425894456,-0.348911111352636,1.213304810779911,0.3501873733128617,-0.43956575,-0.1390972635655227,0.2,1.0,13.20062881647529,0.9325222700767022,1.0,2.0,0.0236220472440944,0.5,8.03836357245134e-08,3.0,0.0018867924528301,0
0x0bdc6633c0f5acae2a30043faa0f2b91840c107c97090e82469e75b43e5b153a,3,0x755170e84b4afbb782a6ffa22a835ee3eea6c037,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,2024-10-18 19:58:23.000000 UTC,315424,19656721463,2681158,157644,0.0,163,2,224,1728355,5366991,0.3220342646372986,368,176,176,1.0,27,272,1943562,138,0x0bdc6633c0f5acae2a30043faa0f2b91840c107c97090e82469e75b43e5b153a,106,24,14,140437,368,2632163,53,6,7.0,4.0,2,5,-0.3454830989567188,0.1325666161729228,-0.3402731454328118,0.2311980627903473,-0.142019551869162,-0.1388048301235231,-0.3489300415393023,0.9277806517757822,-0.1529985257593583,-0.0952463148530528,0.3384577638110453,-0.5093590520699687,0.2284840240071925,0.2458628494666238,-0.2087269088606398,0.082512126981688,0.0982359681495792,0.3820764718238561,0.1003825175196886,1.1178372043540394,1.3401571479281449,0.7947346815021653,0.2795785483197605,-0.2182426363985606,-0.5975006113139074,0.1802893525048383,-0.43956575,-0.138774486717873,0.2142857142857142,0.997289972899729,38.21636036087356,0.6566289182588927,0.0989010989010989,3.320754716981132,9.055533574162504e-05,0.6022727272727273,1.9750359186367185e-05,4.416666666666667,0.0652173913043478,0
0xf5ed4ef9e18407370e13d6164264ea9afcc4bb2940146761157a4242fdde62a7,5,0x8e74e790be0812ee2e57273d7ae738048d6ade1e,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,2024-10-18 17:56:47.000000 UTC,289100,19833719479,13336792,166448,2.5e+16,356,2,460,1727895,5365557,0.3220345995765211,368,396,397,0.9974811083123426,107,717,5118041,97,0xf5ed4ef9e18407370e13d6164264ea9afcc4bb2940146761157a4242fdde62a7,33,12,13,140393,368,2631557,98,6,8.0,3.0,1,4,0.5195234570777727,0.1323026911524948,-0.340354995106902,0.2311980627903473,-0.1410926951113468,-0.1383534000553362,0.2697385978355405,0.3038832356946732,-0.1542216032190927,-0.2741577567926324,0.1917682601029176,-0.5093942540729813,0.2284840240071925,0.2455680021079745,-0.0607087019950543,1.3001850326497382,1.3643682886977966,0.3820764718238561,0.3420262163200959,0.4636372235985119,-0.6791746632034036,0.3243911111107772,0.0991413932791897,-0.2088007630130169,1.385980027856902,0.3199254778963467,-0.21496582,-0.1383802086697945,0.3846153846153846,0.997289972899729,38.21812341071136,0.6566053265783995,0.149025069637883,4.051020408163265,7.737333925747386e-05,0.0831234256926952,6.150340029935382e-06,2.75,0.0326086956521739,0
0xb63813000ff302297e6c2c51f3f2086133020dda2b95c757f1c5b38f0ffc95f3,4,0x794b6d68187e3b93042ca94f3378671646f4e0b1,0x7d0ccaa3fac1e5a943c5168b6ced828691b46b36,2024-10-18 16:56:59.000000 UTC,196456,30739951004,926312,174539,2e+17,2013,2,966,169982,195141,0.8710727115265372,125,2054,2099,0.9785612196283944,258,889,6226303,1,0xb63813000ff302297e6c2c51f3f2086133020dda2b95c757f1c5b38f0ffc95f3,328,41,14,35581,129,926825,370,6,10.0,2.0,1,4,0.0870201790605269,-0.761549961782406,-0.6354713580848951,-0.5844411246767197,-0.1341075655456303,-0.134876775729299,1.4374756546555565,-1.1569497385440208,-0.1492790299229059,0.1582115612280183,0.3384577638110453,-0.5932486254312659,-0.5739676779768521,-0.5838638912995142,0.8339791261702629,1.7708361332675011,1.8063955750132543,0.3820764718238561,0.8253136139209105,-0.1905627571570154,-0.6791746632034036,0.3243911111107772,-0.5358844307437037,0.3729868722363799,-0.9241543858078828,0.4482530438371344,1.3572338,-0.134995137552354,0.2857142857142857,0.9615384615384616,5.484415839914561,0.1834022783132972,0.2898876404494382,5.672972972972973,0.0003298907345352,0.1562648880419247,0.0016808359083944,8.0,0.328,0
0x19d3e6d53ac2b204e85ffd12a4558b2d3170cc921eeecce1c5069e4041b43f77,4,0xbf50724001f728b238ce198fcbd8cfe52d2a1aa3,0x77edae6a5f332605720688c7fda7476476e8f83f,2024-10-18 23:33:23.000000 UTC,287436,12409238811,654130,207988,5e+16,1295,0,7,551270,640759,0.8603390666381588,525,1329,1341,0.9910514541387024,62,62,449181,2,0x19d3e6d53ac2b204e85ffd12a4558b2d3170cc921eeecce1c5069e4041b43f77,1115,61,18,29169,524,3746241,171,9,10.0,4.0,1,7,0.0870201790605269,-0.5427859548498992,-0.6100364291666944,0.7581748217711273,-0.1371619798611577,-0.1364251195830805,-0.0782625118128085,-1.141732728395701,-0.1360932496378244,0.4563972977939843,0.925215778643556,-0.5983785173248403,0.752260030323138,0.7879139313631497,0.1794097224757845,-0.4921200307493018,-0.4977938317996929,1.837074166939608,0.8253136139209105,1.1178372043540394,-0.6791746632034036,1.7354218222849416,0.0877355497148563,-0.6048560861454115,-0.9748193886909388,0.9787719850252948,0.009634107,-0.1364619336068635,0.2222222222222222,1.0,21.967122630189586,0.1471528000593661,0.984126984126984,7.842105263157895,0.0029587116135553,0.8314690529455631,0.0017401238219049,18.27868852459016,0.1161904761904761,0
