transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xe06fecbf7c20750e015c4fab14688455b03c5b9681413918c14cd698968438c7,114,0x09bdff1a9d98a1fb81d982ad2b192dd49a932296,0xa9fe4601811213c340e850ea305481aff02f5b28,2021-05-02 12:22:10.000000 UTC,1435188,22000000000,6787087,771171,0.0,534,,681,986,1010,0.9762376237623762,66,573,578,0.991349480968858,87,668,4269524,1,0xe06fecbf7c20750e015c4fab14688455b03c5b9681413918c14cd698968438c7,3,3,272,643,67,432894,75,20,27.0,6.0,1,4,6.21323153279378,-0.3359326321679532,-0.1529186642678696,-2.315956038529688,-0.2817859512845159,-0.2836956707424475,-0.12377215939258,-1.140650575664489,-0.2700333187206686,-0.4907192572121077,3.3922232078126884,-0.142284106115135,-2.438964268796747,-2.4451544417659967,-0.1707962233989997,0.8337170273417492,0.8833081452367074,0.631218471147347,1.7444448805856458,0.7537563540879418,-0.8634473123362019,0.1942362226663559,0.7357760673314558,-0.1822277592985093,-0.3641921170212905,1.3051780096455947,-0.0,-0.2841872054986526,0.4191176470588235,0.9705882352941176,1.5707620528771384,0.0022776885849917,0.1300448430493273,7.706666666666667,0.0001342069668171,0.0051903114186851,0.0029702970297029,1.0,0.0454545454545454,0
0x543a371005ff73d3f397d04412d82ac5bc9dc674705c5a9d5bee65dc4eb9c63a,2,0x8309b5ce84324b8a730e3d2939b091886af3928b,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-02 05:45:10.000000 UTC,1113216,31000000000,11978585,630883,1.79e+19,48,,709,25223,26429,0.9543683075409588,208,59,60,0.9833333333333332,10,32,202997,120,0x543a371005ff73d3f397d04412d82ac5bc9dc674705c5a9d5bee65dc4eb9c63a,3,2,71,4648,207,1345770,18,15,11.0,5.0,2,2,-0.1923702105529277,-0.2510839356011297,-0.1470553084935655,0.3245870326940697,-0.3025514527351334,-0.3038995493541081,-0.7094353370298104,-0.5712351877809239,-0.2700333187206686,-0.5141105137275769,0.2204104005908858,-0.1220200318769806,0.2954162099166019,0.2929766389791814,-0.5874278151637786,-0.7268459227212317,-0.7464228827582031,0.1566899534835997,-0.0326749521824674,0.2289446869893282,0.2472316764818765,-0.3943982961937193,0.3482942236087798,-0.1693651204411677,0.8678186938510991,0.8158818379357887,-0.0,-0.3031427743683717,0.028169014084507,1.0,5.686101549053356,0.0187424160574124,0.303030303030303,3.333333333333333,0.000290643257569,0.05,0.0001135116727836,1.5,0.0096153846153846,0
0xb6dbaf6a4439e869175227bdb6c2543b5d6f2d94090725f665b9ab32f7523f24,2,0x690780bd3c38794144c7dddf7e5a4337dd9a711a,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-02 05:58:00.000000 UTC,1118002,22500000000,8460194,639674,9.7e+18,316,,707,25225,26431,0.9543717604328252,208,311,344,0.9040697674418604,50,77,496414,122,0xb6dbaf6a4439e869175227bdb6c2543b5d6f2d94090725f665b9ab32f7523f24,1,1,72,4650,207,1345825,71,15,12.0,5.0,2,2,-0.1923702105529277,-0.2510769340170585,-0.1470548471571026,0.3245870326940697,-0.2923707010511731,-0.2928225193816919,-0.4051947252702103,-0.5616651812618724,-0.2701179723446143,-0.537501770243046,0.2361905638108948,-0.1220099124890964,0.2954162099166019,0.2931416090402204,-0.2000335280842473,-0.6164287328582849,-0.6288309452053029,0.1566899534835997,0.0783950373655396,0.2289446869893282,0.2472316764818765,-0.3943982961937193,0.3540540042855365,-0.1815131682508792,0.0328581971166078,0.8465430680160586,-0.0,-0.2926899092303373,0.0277777777777777,1.0,5.684086021505377,0.0187431361855098,0.6410256410256411,4.845070422535211,0.0006264919472618,0.002906976744186,3.78343611668117e-05,1.0,0.0048076923076923,0
0x037a64f4ff29cde3cfd4124a65440124895918ed25834df7cab726a42bd1466e,1,0x0b32aa5c1e71715206fe29b7badb21ad95f272c0,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-02 12:01:59.000000 UTC,619820,22000000000,6249117,62807,0.0,757,,683,25244,26450,0.9544045368620038,208,756,801,0.9438202247191012,194,1352,8176384,141,0x037a64f4ff29cde3cfd4124a65440124895918ed25834df7cab726a42bd1466e,16,14,5,4650,207,1347448,119,4,3.0,2.0,1,2,-0.2495630832613805,-0.2510104189683821,-0.1470504644607058,0.3245870326940697,-0.2743927863711638,-0.274997861996501,0.6900714770643505,-0.4707501193308829,-0.2694830701650219,-0.2334154355419468,-0.821080371929706,-0.1220099124890964,0.2954162099166019,0.2980097255686968,0.1508141281387243,2.51205831325854,2.449049861456026,-0.8872727853766441,-0.921234868566524,-1.3454903143065124,-0.8634473123362019,-0.3943982961937193,-0.245490303509707,-0.1822277592985093,-0.4918594792980399,-1.1654523605717082,-0.0,-0.2754894856263329,0.2,1.0,5.688172043010753,0.0187346608294636,0.1433850702143385,6.73109243697479,9.24613995060164e-05,0.0199750312109862,0.0006049149338374,1.1428571428571428,0.0673076923076923,0
0xb9ee022c0583a012be8d414b989169e42d10822142bbe0748648a293d97ed3a5,2,0x9b5b0e9e77b281679432e6d6f752e8e45ae8c4a6,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-02 17:52:48.000000 UTC,982684,39000000000,9519506,471497,0.0,15,,668,25254,26460,0.954421768707483,208,20,20,1.0,4,14,89044,151,0xb9ee022c0583a012be8d414b989169e42d10822142bbe0748648a293d97ed3a5,3,1,51,4650,207,1349008,7,13,9.0,5.0,2,3,-0.1923702105529277,-0.2509754110480261,-0.1470481577783916,0.3245870326940697,-0.304127045257651,-0.3054596944206456,-0.7550714287937504,-0.4229000867356253,-0.2700333187206686,-0.537501770243046,-0.0951928638092934,-0.1220099124890964,0.2954162099166019,0.3026888763908922,-0.6678304030482096,-0.7710127986664105,-0.7920915183858785,-0.0331214535818991,-0.2548149312784816,0.2289446869893282,0.2472316764818765,-0.1000810367636816,0.1912036069563741,-0.1579316636790862,0.2842468783964336,0.2599757046660925,-0.0,-0.3044298808965625,0.0392156862745098,1.0,5.690322580645161,0.0187204088334473,0.2666666666666666,2.857142857142857,0.0002246055365264,0.15,0.0001133786848072,3.0,0.0048076923076923,0
0x41ab525fa559191da3b1089d29c64547ae9f030d12e641df60301d8ffce76be0,1,0x2d3efbe93cc1cd4748242a9ef7b9807bfc29daac,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-02 03:15:49.000000 UTC,131323,26000000000,1521303,87549,1.02e+21,38,,722,25214,26420,0.9543527630582892,208,38,41,0.926829268292683,10,65,417749,111,0x41ab525fa559191da3b1089d29c64547ae9f030d12e641df60301d8ffce76be0,6,6,4,4646,207,1345116,15,4,2.0,2.0,1,1,-0.2495630832613805,-0.2511154427294501,-0.1470573845076482,0.3245870326940697,-0.3033998487087967,-0.3046406182607134,-0.7094353370298104,-0.6143002171166556,-0.2699063382847502,-0.4205454876657002,-0.8368605351497149,-0.1220301512648648,0.2954162099166019,0.2910149949806457,-0.6093557936777143,-0.6458733168217374,-0.6603573045082707,-0.8872727853766441,-1.032304858114531,-1.3454903143065124,-0.8634473123362019,-0.6887155556237569,-0.8333790584728593,-0.1765110309174686,-1.6138319735172106,-1.079157268472284,0.0,-0.3035328066496416,0.25,1.0,5.686612139474817,0.0187448378096477,0.1515151515151515,2.7333333333333334,9.09634949132256e-05,0.1463414634146341,0.000227100681302,1.0,0.0288461538461538,0
0x61091d754be70d0f037435bdcc6f3afa6f573ae20993c45f5fbd84dfb83741fe,2,0xdc72bd8115311209270c453d52a031773372c52f,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-01 02:24:33.000000 UTC,886255,47000000000,10963040,427666,0.0,198,,877,25117,26320,0.9542933130699088,207,214,222,0.963963963963964,20,19,120894,11,0x61091d754be70d0f037435bdcc6f3afa6f573ae20993c45f5fbd84dfb83741fe,72,19,47,4633,206,1338387,23,13,9.0,6.0,2,3,-0.1923702105529277,-0.2514550195569032,-0.1470804513307896,0.3059916589530573,-0.2962894824533324,-0.2975809618346312,-0.6333751840899104,-1.0928005430692314,-0.2671127686945436,-0.1164591529646009,-0.1583135166893293,-0.1220959272861123,0.2758849207829351,0.270831657876445,-0.550881184307219,-0.7587442220149719,-0.7793270800232074,-0.0331214535818991,-0.2548149312784816,0.7537563540879418,0.2472316764818765,-0.1000810367636816,0.075154737152994,-0.1464982069170047,0.6268164977744752,0.1071020411865896,-0.0,-0.2972922901493226,0.0425531914893617,1.0,5.680984243470753,0.0187666057974219,1.0,9.652173913043478,0.0017701311055047,0.3243243243243243,0.0027355623100303,3.789473684210526,0.0917874396135265,0
0xa006929ae0ec4386818dfd60e2dd1c6c7efa0583b0cc9fd057bc17e4e2ca0efc,2,0xdc72bd8115311209270c453d52a031773372c52f,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-01 04:30:40.000000 UTC,1080769,54000000000,3849078,597052,0.0,204,,862,25126,26330,0.9542726927459172,207,218,228,0.956140350877193,20,19,121477,21,0xa006929ae0ec4386818dfd60e2dd1c6c7efa0583b0cc9fd057bc17e4e2ca0efc,76,19,73,4633,206,1338970,23,15,12.0,5.0,2,2,-0.1923702105529277,-0.2514235124285828,-0.1470781446484754,0.3059916589530573,-0.2961278832202537,-0.2973469400746506,-0.6333751840899104,-1.0449505104739738,-0.2669434614466523,-0.1164591529646009,0.2519707270309038,-0.1220959272861123,0.2758849207829351,0.2725803405234578,-0.550881184307219,-0.7587442220149719,-0.7790934326899127,0.1566899534835997,0.0783950373655396,0.2289446869893282,0.2472316764818765,-0.3943982961937193,0.3092454138263463,-0.1364939322501835,-1.0614203256116397,0.6978861520245601,-0.0,-0.2970582707805606,0.0273972602739726,1.0,5.683142672134686,0.0187651562281782,1.0,9.91304347826087,0.0017945636246892,0.3333333333333333,0.0028864413216862,4.0,0.0917874396135265,0
0x321a79be1dd0640ee54b9953448cc21580107434de8db172599d17ab0e2f1853,2,0x0db90b2604f9bb2a99f731a1b174be4f888bb0f5,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-01 23:39:27.000000 UTC,949299,27000000000,3010141,445182,0.0,387,,739,25203,26409,0.9543337498580028,207,385,408,0.943627450980392,66,205,1333614,100,0x321a79be1dd0640ee54b9953448cc21580107434de8db172599d17ab0e2f1853,45,14,52,4642,206,1344158,87,13,11.0,5.0,2,2,-0.1923702105529277,-0.2511539514418417,-0.1470599218581937,0.3059916589530573,-0.2893811152392165,-0.2903262872752319,-0.2834984805663701,-0.666935252971439,-0.2682555926178099,-0.2334154355419468,-0.0794127005892844,-0.1220503900406333,0.2758849207829351,0.2881415164629128,-0.0830843093432568,-0.3023531705814586,-0.2933085653865191,-0.0331214535818991,-0.0326749521824674,0.2289446869893282,0.2472316764818765,-0.3943982961937193,0.1510259475553034,-0.1750818488222084,-1.2605111186045002,0.1681943066951788,-0.0,-0.2899206800333207,0.0384615384615384,1.0,5.689142610943559,0.0187500139492426,0.3203883495145631,4.689655172413793,0.0002886890144456,0.1102941176470588,0.0017039645575372,3.2142857142857144,0.0676328502415458,0
0xdd197209f75ab5a134b215087fb318ba94e7c00c72412bd276aee38085e93e59,5,0x2937da97bcd51bb1d18dab3460c3920c48d7a472,0x512e60305636ab0763e179d67761cfa7522d4d93,2021-05-01 12:42:26.000000 UTC,371573,25000000000,11733119,238621,0.0,36,,810,37,37,1.0,16,53,53,1.0,14,60,391926,1,0xdd197209f75ab5a134b215087fb318ba94e7c00c72412bd276aee38085e93e59,28,12,45,3,60,391996,8,16,17.0,7.0,2,4,-0.0207915924275695,-0.339254883809737,-0.1531431044570351,-3.2457247255803074,-0.3027938515847515,-0.3041725747407521,-0.6790112758538505,-1.140650575664489,-0.268975148421348,-0.2801979485728851,-0.1898738431293472,-0.145522310238086,-2.5756832927324145,-2.5678261791545536,-0.6605210768768977,-0.658141893473176,-0.6707063183807748,0.2515956570163492,0.6337449851055751,1.278568021186555,0.2472316764818765,0.1942362226663559,-0.5442467334434378,-0.1779402130127287,0.8095663809923439,-0.5522486857528511,-0.0,-0.3036108131058956,0.1111111111111111,0.2622950819672131,12.333333333333334,9.438847746283772e-05,0.2295081967213114,6.625,0.0001352292646334,0.5283018867924528,0.7567567567567568,2.333333333333333,0.75,0
