transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x2159dcfb8fdcec6388c6cf62367f6fba0755142d36b5f35fd2774197200e72a1,4,0x6f3d92b4ee2e6cdb37d3f8536751b8cdb2ae9c67,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2023-11-23 21:36:35.000000 UTC,218880,25675486045,13308204,154702,4.54967e+16,645,2,781,1211295,13168763,0.0919824436053712,200,802,808,0.9925742574257426,70,84,0x2159dcfb8fdcec6388c6cf62367f6fba0755142d36b5f35fd2774197200e72a1,13,3,11,1067424,199,1419278,133,186,1327279,5,7.0,2.0,1,3,0.8338900659455857,0.0455721239849254,0.1636934771118839,-0.0829886110746237,-0.1362213035549915,-0.1312981368476434,-0.2048667955963615,-0.028240631048377,-0.129238898348956,-0.4990530012033272,0.1150617604886749,0.3798195084440937,-0.1437025788667887,-0.1327564463645026,-0.1862443018026689,-0.2803175459760073,-0.26773682538335,-0.0065238302239541,0.398826074091734,0.0359603934576032,-0.6963321927109096,-0.0430244031559031,-0.127309572591563,-0.2154298887127232,1.1047051256457423,0.2468883423560699,0.094383284,-0.1317866010650993,0.3636363636363636,1.0,12.336956073687682,0.8534579881756864,0.374331550802139,6.075187969924812,0.0006042432644204,0.016089108910891,9.871845973687886e-07,4.333333333333333,0.015,0
0x4a0bdfb8e461dd047f814ff54800b5f8637c1be64e6b635ead364c6d5f0c8a87,4,0xe25f4a79ab9d542d630f86b3537f9136349f2d37,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2023-11-24 16:29:59.000000 UTC,188139,61085034048,2637786,132070,1.5e+17,1681,2,551,7238871,71966413,0.100586797343922,1268,1401,1761,0.7955706984667802,94,23,0x4a0bdfb8e461dd047f814ff54800b5f8637c1be64e6b635ead364c6d5f0c8a87,1107,78,11,3759747,1267,8434301,399,112,800267,5,7.0,2.0,1,3,0.8338900659455857,3.2029189334801225,3.307020903163449,3.113600873099579,-0.1297673581275009,-0.12641220966764,-0.0153654044642919,-0.7707744646479476,-0.1236301096623567,0.6318684119659242,0.1150617604886749,2.9166504306709244,3.1020963008754148,3.0541698534650354,0.249464694340846,-0.4882911817148161,-0.4879884699350222,-0.0065238302239541,0.398826074091734,0.0359603934576032,-0.6963321927109096,-0.0430244031559031,-0.3278439949939166,0.7924990864789633,-0.8176916419695478,-0.1219617789685384,1.4734242,-0.126474364685305,0.3636363636363636,1.0,19.1412914220026,0.8582655683896545,0.831858407079646,4.413533834586466,0.0017506635277182,0.6286201022146508,1.5382175571262667e-05,14.192307692307692,0.0615141955835962,0
0x4bcb46f309c582a2426b9243f828120228d8b7d04034df6d93581c0212a7b229,4,0xcbe7db8b2dfa169b3e8f5c28ab931f173628107b,0xdb5889e35e379ef0498aae126fc2cce1fbd23216,2023-11-23 18:48:35.000000 UTC,270754,39969519595,1634342,169174,2.5e+16,1826,2,843,362506,1198053,0.3025792681959813,83,1882,1882,1.0,35,14,0x4bcb46f309c582a2426b9243f828120228d8b7d04034df6d93581c0212a7b229,1160,35,16,40425,82,590007,274,34,248380,6,8.0,3.0,1,4,0.8338900659455857,-0.3990379881206073,-0.4762617090615385,-0.4331767849026964,-0.1245848076256261,-0.1257918558494025,-0.4812229909972962,-0.880328636818376,-0.1233583858960041,-0.0165265315844466,0.9452331925858974,-0.5878663228235637,-0.4992816696250637,-0.509494421362723,0.044714226228292,-0.7075066356016688,-0.7186360061518233,0.4953092639263672,0.6755964239125071,0.7851352571576705,-0.6963321927109096,0.440395857022784,0.2110828878911697,0.1914482387964573,-0.9984734540862762,0.4827490243907877,-0.1760942,-0.1257308566977855,0.25,1.0,29.636437847866414,0.614408618188228,1.0,6.868613138686132,0.0075770690994882,0.6163655685441021,0.0009682376322249,33.142857142857146,0.4216867469879518,0
0x6629634a19773f7ef358fbf5f6b63d1d580892f607a23eb4f1f4910218a601f2,4,0x848edd9e14511117a657a365bc3a4fe47836e11e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-01-19 13:04:11.000000 UTC,219132,21838334200,13774875,154912,2.5e+16,1025,2,251,1612916,17383607,0.0927837358495276,257,1183,1184,0.9991554054054054,209,240,0x6629634a19773f7ef358fbf5f6b63d1d580892f607a23eb4f1f4910218a601f2,424,125,11,1454206,256,1823210,168,304,2162974,5,7.0,2.0,1,3,0.8338900659455857,0.2559480334676545,0.3890193998609884,0.0876158838672578,-0.1321162063799098,-0.1293704258091531,0.892662094710208,1.870698353239049,-0.1271317574438442,1.340579164218655,0.1150617604886749,0.7442633503459524,0.0295282602205761,0.0507499390233634,-0.1289141707311538,0.0513160893912826,0.0815212524092046,-0.0065238302239541,0.398826074091734,0.0359603934576032,-0.6963321927109096,-0.0430244031559031,-0.1256656874074313,-0.3246540032497985,1.1887811966993598,0.2503108646907362,-0.1760942,-0.129838097373669,0.3636363636363636,1.0,11.954019581819908,0.8846567950719911,0.6852459016393443,7.047619047619048,0.0005469318877934,0.3581081081081081,2.439079530502501e-05,3.392,0.4863813229571984,0
0xf6d79c276c5bbfe08581f693aa1332c3bd9e745cb3857bd107860aa06105cb76,4,0xaf2f0e121efcca0920bc105b08036db11d788383,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2023-11-23 22:33:35.000000 UTC,198640,22634122645,14586783,137836,1.15e+17,1013,2,696,1211570,13172477,0.0919773858781457,200,1126,1127,0.9991126885536824,96,115,0xf6d79c276c5bbfe08581f693aa1332c3bd9e745cb3857bd107860aa06105cb76,700,85,11,1067684,199,1419556,108,155,1109041,5,7.0,2.0,1,3,0.8338900659455857,0.0457161736613809,0.1638920278713166,-0.0829886110746237,-0.1327303547761819,-0.1296626585995625,0.0004263781300471,0.3491126286497654,-0.1257167431134042,0.7374210771950543,0.1150617604886749,0.3800644924373883,-0.1437025788667887,-0.1326301509109664,-0.2271943954251797,-0.3674416366233461,-0.3589440054924705,-0.0065238302239541,0.398826074091734,0.0359603934576032,-0.6963321927109096,-0.0430244031559031,-0.2593422556345231,-0.3020019707592883,1.335055627073221,-0.0279890942938436,1.011559,-0.1298996290691878,0.3636363636363636,1.0,12.337430363291013,0.8534845730041133,0.6153846153846154,10.435185185185183,0.0010152906742936,0.6211180124223602,5.314110626270215e-05,8.235294117647058,0.425,0
0x975e4cc326052af06b0b940cf8c5343f72b4f4594b6931ebfc8ce04d328f487c,4,0x8495efdea8c9117983fea6b8cabe39badcdc64df,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,2023-11-23 20:09:23.000000 UTC,257216,44894398841,1173203,144990,5e+16,10241,2,817,219716,968653,0.226826324803619,38,10481,10510,0.9972407231208372,383,25,0x975e4cc326052af06b0b940cf8c5343f72b4f4594b6931ebfc8ce04d328f487c,116,21,12,32377,38,274195,1512,574,3964342,6,7.0,3.0,1,4,0.8338900659455857,-0.4738338183063767,-0.4885254527917084,-0.5678645440673399,-0.0319345960546875,-0.0815570397853219,2.266547180417712,-0.7464290930545191,-0.1287108314067991,-0.2276318620427068,0.2810960469081194,-0.5954495196621604,-0.633003720850398,-0.652967873780736,2.072562862415027,0.8101388143842341,0.8343585017370319,0.4953092639263672,0.398826074091734,0.7851352571576705,-0.6963321927109096,0.440395857022784,0.1227697227214269,0.3316343968051116,-1.0815528726265198,0.088604833240455,0.15380949,-0.0825817552151897,0.3333333333333333,0.9743589743589745,29.917935571547705,0.801310011816365,0.6660869565217391,6.951058201058201,0.0026438176514998,0.0110371075166508,0.0001197539263286,5.523809523809524,0.5526315789473685,0
0x6f85eb34826b05a7cc7c934bc92e851cfb1e4e7492a981ed47f9e673f23c3e00,4,0xaeb1848de47432af470d6b7440f81008cd35001d,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,2024-01-18 23:57:11.000000 UTC,287486,32539532554,2499674,173276,0.0,551,0,369,129824,345265,0.3760126279814056,45,565,565,1.0,61,18,0x6f85eb34826b05a7cc7c934bc92e851cfb1e4e7492a981ed47f9e673f23c3e00,9,2,16,19892,45,321146,173,182,1305026,7,8.0,4.0,2,6,0.8338900659455857,-0.5209207765461638,-0.5218518288878864,-0.5469131148639509,-0.1387748679394912,-0.1325439713751783,-0.2759298172708876,-0.831637893631519,-0.1292594058030204,-0.5141319533789173,0.9452331925858974,-0.6072134625709429,-0.6117297581554585,-0.6316380254390702,-0.1207241520066516,-0.291559364124051,-0.2770369169300479,0.9971423580766884,0.6755964239125071,1.534310120857738,1.2988889898418403,1.4072363773801586,0.3202316454343915,-0.0200455431430398,-0.8425740844726327,0.5496022939946028,-0.5059979,-0.1322685993466636,0.25,0.9782608695652174,17.356977679469132,0.4042510127760807,0.3333333333333333,3.2658959537572256,0.000432941234166,0.015929203539823,2.6066934094101636e-05,4.5,0.0444444444444444,0
0x1b9689014c6b6bc954a390629e649239c36ffa21aa33a743e42f0697a49f0043,2,0xfd119deedf1a29e94a11fbd8c2cf568420d354f4,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2024-01-19 00:25:47.000000 UTC,300000,49437719791,4296128,148062,1.5e+17,83,2,350,7509182,72595869,0.1034381446690857,1324,93,93,1.0,32,32,0x1b9689014c6b6bc954a390629e649239c36ffa21aa33a743e42f0697a49f0043,50,26,8,3817823,1323,8828850,34,474,3379601,5,4.0,2.0,1,2,-0.601376828969364,3.344512431997844,3.3406716750615217,3.2812123067266903,-0.1438604476419546,-0.1349638639554108,-0.504910664888805,-0.6612202924775191,-0.1290492043988608,-0.1522371011647567,-0.3830410987696585,2.97137231680392,3.2722880024349306,3.2334135401459547,-0.3484066725478117,0.529093360683141,0.5899804479416924,-0.0065238302239541,-0.4314849753705853,0.0359603934576032,-0.6963321927109096,-0.5264446633345904,0.4018648962051228,0.4609595389592121,-0.5189225309187271,0.138671445679002,1.4734242,-0.1346683354718989,0.25,1.0,19.014990742106168,0.8505276620932893,0.0673684210526315,2.735294117647059,2.751803318852338e-05,0.5376344086021505,6.887444242867318e-07,1.9230769230769231,0.0196374622356495,0
0x609c8f4332ccbc685f428d53a45092da2e2901662401d3d1a01dacc6cc5bba1d,1,0x4da5494a5fbd328b9fbd754e6663b5582d707726,0x8e7c1d829b9cfe983a4b4adfa0e3a4355ccc6244,2023-11-23 20:59:35.000000 UTC,55898,29389781814,1758220,46581,0.0,71,2,806,572,771,0.74189364461738,2,78,78,1.0,11,39,0x609c8f4332ccbc685f428d53a45092da2e2901662401d3d1a01dacc6cc5bba1d,1,1,1,680,1,8302,22,28,204874,2,0.0,0.0,1,0,-1.3190102764268388,-0.5886251721142782,-0.5402685077570284,-0.6756147513990546,-0.1440220656409736,-0.135040767321308,-0.6707243821293658,-0.5760114919005193,-0.1293004207111491,-0.5292109055545072,-1.54528110370577,-0.6253158951831599,-0.7454518093807927,-0.7737631148855156,-0.3680627174866169,-0.7243693628237344,-0.7368182639521487,-1.512023112674918,-1.5385663746536775,-1.4623893339425311,-0.6963321927109096,-1.4932851836919647,-1.190498838782656,-0.1097028591643707,-0.976155428046561,-1.5152380259603837,-0.5059979,-0.1347298671674178,1.0,1.0,1.133823529411765,0.0688907623750451,0.3793103448275862,3.5454545454545454,0.0003807199511897,0.0128205128205128,0.0012970168612191,1.0,0.5,0
0xd3da3da698bb698f0ea534226ff16c2be2cdc22826ee9e258d776e609791ad9d,4,0x6bf2921ae274ef3906ca0df337cb8a364ec8031a,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,2023-11-23 23:10:11.000000 UTC,257216,26653423871,2240351,144990,1e+17,12,2,678,220536,972156,0.226852480466098,38,15,15,1.0,1,51,0xd3da3da698bb698f0ea534226ff16c2be2cdc22826ee9e258d776e609791ad9d,10,1,12,32452,38,275086,4,0,1468,6,7.0,3.0,1,4,0.8338900659455857,-0.4734042883620366,-0.4883381821104234,-0.5678645440673399,-0.1447008612368532,-0.1353637614580763,-0.7496832951010615,-0.429939262339948,-0.1292542789395043,-0.5292109055545072,0.2810960469081194,-0.5953788512025562,-0.633003720850398,-0.6525630923091501,-0.3975467848948247,-0.8030620898600405,-0.8218267761144475,0.4953092639263672,0.398826074091734,0.7851352571576705,-0.6963321927109096,0.440395857022784,0.1227697227214269,-0.1875929936843581,-0.8892940627310572,0.088604833240455,0.8136169,-0.1350323980037188,0.3333333333333333,0.9743589743589745,29.95673610255146,0.8016954636169649,1.0,3.75,0.0102110279101429,0.6666666666666666,1.0286414937520315e-05,10.0,0.0263157894736842,0
