transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xe3728935c1ba8b46d42dfc70eca39ea9de10792217b544fb0a123daaaf3b401f,12,0x5a6ef084208484588ec22ef3ee3157cc64095f68,0xeb06adabf594f521837d66e2c66f13a4a28b915f,2024-01-29 20:06:23.000000 UTC,1201969,17881543679,11602904,639083,0.0,322,2,6,86,88,0.9772727272727272,3,337,338,0.9970414201183432,29,30,0xe3728935c1ba8b46d42dfc70eca39ea9de10792217b544fb0a123daaaf3b401f,5,2,75,40,2,15981,35,476,3396544,14,21.0,6.0,1,6,0.1245152073905457,-0.4944202080558422,-0.4472154746858426,-0.5057849260680543,-0.3322725866278713,-0.320126669610952,-0.5521685932596943,0.3821619869168262,-0.3051243409606358,-0.3462615270843305,0.0573166141000362,-0.513088879126236,-0.5071222576525076,-0.5174792237420657,-0.4283235873199248,-0.0260397813355918,0.0219066675981549,1.136125871864071,0.607621636567213,0.7652550949865644,-0.7358236637186913,1.0933106863298154,0.3856998656250246,0.7973122983902564,0.5825599029023059,0.2997782082590849,-0.20913494,-0.3164458335143826,0.16,1.0,2.2,0.005381053685396,0.060796645702306,9.657142857142857,9.921847053402796e-05,0.014792899408284,0.0568181818181818,2.5,0.6666666666666666,0
0x9d945000501ec6982c7ab85c872b71e96bd154ba1657a008a63959d7c8046b89,4,0xa077b54582e5d05de3873b080ca9ed4b59acf015,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-01-28 22:37:11.000000 UTC,327164,10268183576,13137020,187611,1e+17,645,2,40,1679498,18029762,0.0931514237403688,266,666,678,0.9823008849557522,282,16,0x9d945000501ec6982c7ab85c872b71e96bd154ba1657a008a63959d7c8046b89,13,10,17,1506914,265,1890180,192,2106,13615427,7,10.0,2.0,1,5,-0.4048523028869747,1.1031520576512477,1.3511495380358678,0.8995307057277584,-0.2604272632277824,-0.2542174406496983,0.6529120885701308,-0.389271977371093,-0.2918176287874405,-0.1350987597476568,-0.4889127435953618,1.6619826144606469,0.8958528922086714,0.9300797651998792,-0.0141545344418968,2.5010859886147063,2.465180127935222,-0.4510370950533326,-0.2028046140302561,-0.7903454259697305,-0.7358236637186913,0.6714107119369821,-0.3909944307475641,-0.529883863008352,0.8874656142433203,-0.4990970899676874,0.35543832,-0.2535353152916377,0.2352941176470588,1.0,11.964692079309104,0.8885381876127206,0.1338395823445657,3.53125,4.891509837222892e-05,0.0191740412979351,7.210300391097786e-07,1.3,0.037593984962406,0
0xe03217aa2218ee78f944db44b658cc54438c5d888a41cddbf94ad8012b1b03f3,6,0xadd90f648aeefb2b23896a6f3fece1cbdbca740e,0x1111111254eeb25477b68fb85ed929f73a960582,2024-01-28 20:37:11.000000 UTC,557762,10102113489,1614745,415796,0.0,2388,2,62,1950212,3474818,0.5612414808487811,448,2399,2415,0.993374741200828,504,5,0xe03217aa2218ee78f944db44b658cc54438c5d888a41cddbf94ad8012b1b03f3,346,89,50,398511,450,3212701,296,1171,7858539,15,10.0,6.0,1,3,-0.2725104253175946,1.3606738440494806,-0.1006294598386241,1.8720304965522367,0.1180163399708621,0.0825011790729418,1.710334663140175,-0.9953986635973152,0.2620742654218169,1.950133567701996,-0.1781270745617732,0.0620772682232163,1.8827365527574091,1.9515439542291608,0.2601994878467331,1.051477034686161,1.088742833904853,1.3628634385665572,-0.2028046140302561,0.7652550949865644,-0.7358236637186913,-0.1723892368486846,-0.1862583451571454,-0.5588339690072371,-1.4025877162361131,-0.0953259592533218,-0.20913494,0.0859477598236702,0.12,0.9933481152993348,8.719503351224935,0.6070317134922567,0.4300341296928328,8.158783783783784,0.0003052729896392,0.1432712215320911,9.957356039942236e-05,3.8876404494382015,0.1986607142857142,0
0xb1eae899154840b8438f2021162d033d4d915bc86863316f927d96832097c0a4,25,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0xd0fcbaf80110fe2da822571081e0630c947cdb1a,2024-01-28 22:05:59.000000 UTC,1122838,11346395239,4768537,1118138,0.0,24,2,45,8,8,1.0,1,26,26,1.0,2,8,0xb1eae899154840b8438f2021162d033d4d915bc86863316f927d96832097c0a4,8,1,173,1,0,85,6,0,205,12,22.0,6.0,2,2,0.9847374115915168,-0.4944944070235316,-0.4472234542644538,-0.5164717369562353,-0.4001871628510556,-0.380608079716573,-0.6807740415182132,-0.8300913855356182,-0.3001343238956876,-0.3726568730014148,0.9802558736543298,-0.5131451730089693,-0.5177912701989804,-0.5297566807720936,-0.5048261512273312,-0.7640225215173967,-0.7901375588606209,0.6826507384590985,0.6812967502578919,0.7652550949865644,0.2417706323647128,-0.594289211241518,0.3154435269366777,-0.341925016855136,-0.7757712348347064,1.1474613558120372,-0.20913494,-0.3744871165805684,0.1445086705202312,1.0,8.0,0.0930232558139534,2.0,4.333333333333333,0.1262135922330097,0.3076923076923077,1.0,8.0,1.0,0
0x22e0ac37fad59a5e1bfa0cf534f70c43f5cd14bb61b405c12da46278522ecd63,25,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0xd31711a0c16f123be96e9e40bf84764cc47ba1bd,2024-01-28 21:41:47.000000 UTC,1224250,11886981049,5560676,1219809,0.0,8,2,57,3,3,1.0,1,10,10,1.0,2,3,0x22e0ac37fad59a5e1bfa0cf534f70c43f5cd14bb61b405c12da46278522ecd63,3,1,213,1,0,30,4,0,84,12,42.0,6.0,2,3,0.9847374115915168,-0.4944991633676143,-0.447223952988117,-0.5164717369562353,-0.4036811603416375,-0.3837096904912202,-0.6807740415182132,-1.1056035156384465,-0.3084510190039347,-0.3726568730014148,1.356965775513225,-0.5131451730089693,-0.5177912701989804,-0.5297991606498396,-0.5101021901174972,-0.7640225215173967,-0.7901664892328251,0.6826507384590985,2.1547990240714725,0.7652550949865644,0.2417706323647128,-0.1723892368486846,0.4054820177817654,-0.247687597078309,-0.6183335278582067,1.327367198136731,-0.20913494,-0.3776034270807663,0.1173708920187793,1.0,3.0,0.0967741935483871,2.0,2.5,0.1176470588235294,0.3,1.0,3.0,1.0,0
0x6742253c25cc401f30ea10636a6cd2d80a4ac0c24b28f9a4acf97748f9346d06,25,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0xd0fcbaf80110fe2da822571081e0630c947cdb1a,2024-01-28 21:59:47.000000 UTC,1185734,9261805911,25732976,944060,0.0,20,2,49,5,5,1.0,1,22,22,1.0,2,5,0x6742253c25cc401f30ea10636a6cd2d80a4ac0c24b28f9a4acf97748f9346d06,5,1,173,1,0,54,6,0,174,12,22.0,6.0,2,2,0.9847374115915168,-0.4944972608299812,-0.4472237534986518,-0.5164717369562353,-0.4010606622237011,-0.3813834824102348,-0.6807740415182132,-0.9953986635973152,-0.3051243409606358,-0.3726568730014148,0.9802558736543298,-0.5131451730089693,-0.5177912701989804,-0.5297806239759141,-0.5048261512273312,-0.7640225215173967,-0.7901449707741608,0.6826507384590985,0.6812967502578919,0.7652550949865644,0.2417706323647128,-0.594289211241518,0.3712856454255413,-0.7053202742427275,3.390913152891062,0.8394320335844792,-0.20913494,-0.3752661942056178,0.1445086705202312,1.0,5.0,0.0909090909090909,2.0,3.6666666666666665,0.1257142857142857,0.2272727272727272,1.0,5.0,1.0,0
0x4c3ce484931d9ae8145c374e28e3bf01c3552971e883fbb2d3e0c167dba95b1f,4,0x92989eb906d40c6385c9982b08c5953cbf763ab2,0x04c80bb477890f3021f03b068238836ee20aa0b8,2024-01-28 22:13:23.000000 UTC,577116,9844520064,9708371,316240,0.0,2923,2,42,87,103,0.8446601941747572,2,2920,3105,0.9404186795491144,659,44,0x4c3ce484931d9ae8145c374e28e3bf01c3552971e883fbb2d3e0c167dba95b1f,1,1,31,65,1,9459,632,2388,15080531,11,10.0,5.0,3,4,-0.4048523028869747,-0.4944192567870257,-0.447213978514853,-0.5111283315121448,0.231789633257933,0.2162581437296036,2.44862519943908,1.1535959512047451,-0.3117776970472335,-0.3726568730014148,-0.3570642779447485,-0.513052793303971,-0.512456763925744,-0.522516564881336,1.1465740213946145,2.9382942506551872,2.815477681966683,0.4559131717566123,-0.2028046140302561,0.3763549647474907,1.2193649284481172,0.2495107375441487,-0.1690749255242042,-0.6037388467795108,0.2060212760813705,-0.2714893297176354,-0.20913494,0.1901493921740372,0.1290322580645161,1.0,1.5846153846153843,0.0091966173361522,0.2758476349937212,4.912974683544304,0.0001936271213774,0.0003220611916264,0.0097087378640776,1.0,0.5,0
0x65f0ab303d3e79cb92b6262e65d1e8527811470e6556bc15d7a5e50a71f42676,3,0x1b9fcb24c533839dc847235bd8eb80e37ec42f85,0x7701aaa4dfdb9107815dd3e36e0bf134417c02b0,2024-01-29 09:25:11.000000 UTC,478284,15355312987,2000852,313203,0.0,2345,2,18,1442,1443,0.9993069993069992,26,2347,2348,0.9995741056218058,72,42,0x65f0ab303d3e79cb92b6262e65d1e8527811470e6556bc15d7a5e50a71f42676,1441,26,28,3,25,176019,6,71,503712,9,7.0,5.0,5,8,-0.4710232416716648,-0.4931302875406269,-0.447080320573115,-0.3828866008539717,0.1066608481264711,0.0695131839541065,-0.3473525089961271,1.0433910991636142,2.0834304941279336,0.2872267749256906,-0.3853175205841657,-0.5131422861431881,-0.3844286133680699,-0.3938720478379642,-0.5048261512273312,-0.653945264053304,-0.669752063675488,0.0024380383516398,-0.4238299551022932,0.3763549647474907,3.1745535206149254,1.9371106351154823,-0.25682276727076,0.3569280748844488,-1.3258489106381368,-0.2768632715805077,-0.20913494,0.0775726753543884,0.1071428571428571,1.0,481.0,0.0081922508805817,1.0,391.3333333333333,0.0046593993007923,0.6137137989778535,0.9986139986139986,55.42307692307692,1.0,0
0x7ea19be4f03cb56ce26d45af31694a4e78b09902183f4146af7c46cba80e2b24,1,0x92673b98f4ba02d4ba492287ec149540f7569ac6,0x04c80bb477890f3021f03b068238836ee20aa0b8,2024-01-28 21:46:11.000000 UTC,46619,10971092893,12138734,46619,0.0,9,2,56,85,101,0.8415841584158416,2,11,11,1.0,2,42,0x7ea19be4f03cb56ce26d45af31694a4e78b09902183f4146af7c46cba80e2b24,1,1,1,64,1,9323,5,0,106,2,0.0,0.0,1,0,-0.603365119241045,-0.4944211593246588,-0.4472141780043183,-0.5111283315121448,-0.4034627854984761,-0.3835158398178048,-0.6807740415182132,1.0433910991636142,-0.3117776970472335,-0.3726568730014148,-0.63959670433892,-0.5130542367368617,-0.512456763925744,-0.5226216060335809,-0.5074641706724142,-0.7640225215173967,-0.7901612291651515,-1.5847249285657636,-0.9395557509370462,-1.568145686447878,-0.7358236637186913,-1.4380891600271848,-0.6400758847582841,-0.4073494583942691,0.6890561700084802,-0.7485810580711115,-0.20913494,-0.3774086576745039,1.0,1.0,1.578125,0.0091162591162591,2.0,2.2,0.102803738317757,0.0909090909090909,0.0099009900990099,1.0,0.5,0
0xe001a79a5e7eb1127cdee79c5b5d51600bd637bd2a3a71e85daea71d8b308434,4,0xe202c5d102b94656b86d2f0e6ad9b537591c4abc,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-01-28 19:41:47.000000 UTC,149386,12099615387,10982571,116691,0.0,310,2,73,1678631,18021087,0.0931481547145297,266,338,338,1.0,55,7,0xe001a79a5e7eb1127cdee79c5b5d51600bd637bd2a3a71e85daea71d8b308434,55,27,11,1506010,265,1889307,49,95,683323,6,6.0,2.0,1,4,-0.4048523028869747,1.1023273075873157,1.3502842524802132,0.8995307057277584,-0.3320542117847099,-0.320126669610952,-0.4283263097514909,-0.8851938115561839,-0.2219573898781647,0.3136221208427748,-0.5454192288741961,1.660677751127546,0.8958528922086714,0.9294054936858372,-0.391391315088763,-0.6167360502626247,-0.626808153907209,-0.6777746617558188,-0.4975050687929722,-0.7903454259697305,-0.7358236637186913,0.2495107375441487,-0.5488343592122232,-0.2106201953848134,0.4592686559344719,-0.6245893378817169,-0.20913494,-0.3187830663895311,0.3636363636363636,1.0,11.966113770824895,0.8884898597793478,0.5729166666666666,6.8979591836734695,0.0004946409024123,0.1627218934911242,3.051980160797181e-06,2.037037037037037,0.1015037593984962,0
