transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x9bedbe3d734b6d087df74a6448529e88588eff268ee4fb78c59986407b2d4b1e,8,0xbc64b059921a72d1518dc4c6877b9d6a647612ab,0x7b7246c78e2f900d17646ff0cb2ec47d6ba10754,2024-07-19 12:59:59.000000 UTC,820164,5362098907,5642085,505633,0.0,32,2,8,76,77,0.987012987012987,62,39,39,1.0,11,2,0x9bedbe3d734b6d087df74a6448529e88588eff268ee4fb78c59986407b2d4b1e,1,1,74,21,865,5998312,20,43,308353,19,20,8,2,7,2.015418164391324,2.4827131601498293,2.4976140418249124,2.560129103195735,-0.3710151510064874,-0.373398317080892,-0.4968106730339899,-1.0135135135135134,-0.25,-0.25,1.980395906390008,-1.0074632844444238,0.4182487051805419,0.4074451155786299,-0.341196260929539,-0.7604420827662822,-0.770930199406207,1.4419740399607444,2.652083810111264,2.3332047686477506,1.4018260516446994,1.9445436482630056,1.8933821645221656,-0.2498246729495861,-0.5910201315216165,1.893388815563632,0.0,-0.3596345880526616,0.1081081081081081,0.0715935334872979,3.6666666666666665,1.2670229112752202e-05,0.25,1.95,0.0001264780090415,0.0256410256410256,0.0129870129870129,1.0,0.0161290322580645,0
0xa4fd68d989a3ce4681dbe7efaf1942d1c5bef76a5b4f358b20e12c3aa618858d,2,0xbee1f7e369b3271088ed58bf225df13cd96d32d5,0x5766cf4b2fdb09d986eb1783d276013c224e28c8,2024-08-04 01:20:59.000000 UTC,169180,3438850716,5613653,108725,0.0,5732,2,3,37,38,0.9736842105263158,34,5857,5907,0.9915354663958016,830,12,0xa4fd68d989a3ce4681dbe7efaf1942d1c5bef76a5b4f358b20e12c3aa618858d,1,1,8,34,878,6095724,1946,1267,8596148,7,3,3,1,3,-0.4613607846197005,-0.1259062141438899,-0.1225095495198926,-0.0382108821372499,3.924890319076356,3.9233743808913606,3.749410935715084,1.2837837837837835,-0.25,-0.25,-0.4613669584117379,1.0733720974454612,0.6076605163381232,0.6062408288281199,3.9555144988223714,1.5337842269627016,1.5402936535600278,-0.4436843199879214,-0.4509616195330894,-0.4600685459305426,-0.4313310928137537,-0.4596194077712558,-0.4098278697088525,-0.3893602272285492,-0.5955246737888369,-0.4613564723968952,0.0,3.9410678162794266,0.25,0.0386803185437997,1.1176470588235294,6.069827625097917e-06,0.6545741324921136,3.0354573484069887,0.0006813516145427,0.0001692906720839,0.0263157894736842,1.0,0.0294117647058823,0
0x90d435849f0e3a52acaa3b6a6ed448431392912474ff8e061a8892cfc045ddfe,2,0x88dafd252a47b91cbbf1a43f7aae449076c06328,0x5766cf4b2fdb09d986eb1783d276013c224e28c8,2024-07-06 01:48:23.000000 UTC,135344,2326538511,14761376,108725,0.0,325,0,12,30,31,0.967741935483871,28,361,367,0.983651226158038,129,5,0x90d435849f0e3a52acaa3b6a6ed448431392912474ff8e061a8892cfc045ddfe,1,1,8,27,849,5888150,170,1801,11979414,7,3,3,1,3,-0.4613607846197005,-0.5941199479914806,-0.592788142838191,-0.594998021851461,-0.1332562026794548,-0.1332242467102548,0.1149770556990878,-0.3243243243243243,-0.25,-0.25,-0.4613669584117379,-0.0470777235721691,0.1851264760635189,0.1826295552473534,-0.0065614665563372,2.534696685618974,2.4837876806359462,-0.4436843199879214,-0.4509616195330894,-0.4600685459305426,-0.4313310928137537,-0.4596194077712558,-0.5295411264374983,-0.4700607321255434,0.8537685487183675,-0.4613564723968952,0.0,-0.1385633942861174,0.25,0.0329411764705882,1.148148148148148,5.0949780330022105e-06,0.0715871254162042,2.1588235294117646,3.0135027461691577e-05,0.0027247956403269,0.032258064516129,1.0,0.0357142857142857,0
0xa0648158cd0553f079fdee5fc27f143133e028c25dafbec4100cbea72177536e,2,0x42e9ada505f9844dd10978967d58350eb733b0b2,0x5766cf4b2fdb09d986eb1783d276013c224e28c8,2024-06-26 05:21:11.000000 UTC,169181,2832495223,12809329,108725,0.0,131,2,14,28,29,0.9655172413793104,26,142,152,0.9342105263157896,66,3,0xa0648158cd0553f079fdee5fc27f143133e028c25dafbec4100cbea72177536e,1,1,8,25,839,5817599,66,358,2553212,7,3,3,1,3,-0.4613607846197005,-0.7278953005193636,-0.7271534552148478,-0.7805937350895313,-0.2949618228149211,-0.2906554208861298,-0.2116553757431485,-0.7837837837837838,-0.25,-0.25,-0.4613669584117379,-0.3672062438629206,0.0394250828653794,0.0386510272891473,-0.2385749239884238,-0.1700161942330878,-0.1449046199431617,-0.4436843199879214,-0.4509616195330894,-0.4600685459305426,-0.4313310928137537,-0.4596194077712558,-0.4098243316648541,-0.4333525472014887,0.5445015882829104,-0.4613564723968952,0.0,-0.284938177872157,0.25,0.0309523809523809,1.16,4.812981298129813e-06,0.1838440111420612,2.303030303030303,5.561619810019768e-05,0.006578947368421,0.0344827586206896,1.0,0.0384615384615384,0
0xfc9722daf2dccb1871e5b50123fcc343397b0556be6aa122f5b2a42fc48b69e6,2,0x4221ee1d17ec6faceccaa0803abbfc2512848c8d,0x5766cf4b2fdb09d986eb1783d276013c224e28c8,2024-07-07 17:53:11.000000 UTC,124066,1849808920,25042146,108725,0.0,773,2,11,31,32,0.96875,29,870,896,0.9709821428571428,183,6,0xfc9722daf2dccb1871e5b50123fcc343397b0556be6aa122f5b2a42fc48b69e6,1,1,8,28,850,5900111,134,333,2378757,7,3,3,1,3,-0.4613607846197005,-0.5272322717275391,-0.5256054866498627,-0.5022001652324258,0.2425801473157612,0.2541296655643398,0.3949477112210048,-0.0945945945945946,-0.25,-0.25,-0.4613669584117379,0.1129865365732065,0.1996966153833328,0.2070392329685494,-0.0868738172059057,-0.2168753917357223,-0.1935550218014635,-0.4436843199879214,-0.4509616195330894,-0.4600685459305426,-0.4313310928137537,-0.4596194077712558,-0.569443186651048,-0.5046484301837856,2.4825728187159823,-0.4613564723968952,0.0,0.1994567245105099,0.25,0.0340775558166862,1.1428571428571428,5.254137548575349e-06,0.5479041916167665,6.686567164179104,0.0003657370779204,0.0011160714285714,0.03125,1.0,0.0344827586206896,0
0xfc40caed2d03c11885c56344517ba3baac2ea59494e5daef04b2a44466283d03,2,0x13b68dc0e7cda27a0b7a138898c6914ee4ca2958,0x5766cf4b2fdb09d986eb1783d276013c224e28c8,2023-12-28 23:49:23.000000 UTC,167851,47906166455,4794735,108725,0.0,0,2,16,25,26,0.9615384615384616,23,2,2,1.0,1,1,0xfc40caed2d03c11885c56344517ba3baac2ea59494e5daef04b2a44466283d03,1,1,8,22,658,4531343,1,0,0,7,3,3,1,3,-0.4613607846197005,-0.928558329311188,-0.9287014237798328,-1.0589873049466367,-0.3983352786092831,-0.4004911237995309,-0.5486570907232339,-1.2432432432432432,-0.25,-0.25,-0.4613669584117379,-0.847399024299048,-2.597770134020944,-2.5863046141250106,-0.3835833348834779,-0.8410399024708136,-0.8569208409138332,-0.4436843199879214,-0.4509616195330894,-0.4600685459305426,-0.4313310928137537,-0.4596194077712558,-0.4145299301826783,2.8368336555863527,-0.7252675952993762,-0.4613564723968952,0.0,-0.3837788822524207,0.25,0.0349013657056145,1.181818181818182,5.517126927463464e-06,1.0,2.0,2.0,0.5,0.0384615384615384,1.0,0.0434782608695652,0
0xd4775a0077d991eece5bfed34c129ac1b9a1f1cef12e061470ef74189d4a6ec0,2,0xe31b5c51f368727562c1c9b0cb678004c3aea4c1,0x5766cf4b2fdb09d986eb1783d276013c224e28c8,2024-08-07 07:07:11.000000 UTC,169180,3746662715,4143808,108725,0.0,376,2,2,38,39,0.9743589743589745,35,470,479,0.9812108559498957,169,13,0xd4775a0077d991eece5bfed34c129ac1b9a1f1cef12e061470ef74189d4a6ec0,1,1,8,35,881,6118958,132,1158,7895087,7,3,3,1,3,-0.4613607846197005,-0.0590185378799484,-0.0553268933315643,0.0545869744817852,-0.052772583525273,-0.0512135885349153,0.3223627264560634,1.5135135135135132,-0.25,-0.25,-0.4613669584117379,1.233436357590837,0.6513709342975651,0.6536561329142556,-0.091335614464215,1.3294781258512152,1.344788225930078,-0.4436843199879214,-0.4509616195330894,-0.4600685459305426,-0.4313310928137537,-0.4596194077712558,-0.4098278697088525,-0.3670278428305438,-0.8283953451718796,-0.4613564723968952,0.0,-0.1000834254052513,0.25,0.0396825396825396,1.1142857142857143,6.210206670775209e-06,0.1458153580672994,3.628787878787879,5.953068540844636e-05,0.0020876826722338,0.0256410256410256,1.0,0.0285714285714285,0
0x76d370025a6bbab7c898cb9c4406dc6104b22978a9fae346020640ccc46dec15,2,0xccfb554bb68f047f1d23070e1f87031195120224,0x5766cf4b2fdb09d986eb1783d276013c224e28c8,2024-08-27 18:49:35.000000 UTC,111901,3634660723,4480678,108725,0.0,0,2,1,39,40,0.975,36,2,2,1.0,2,14,0x76d370025a6bbab7c898cb9c4406dc6104b22978a9fae346020640ccc46dec15,1,1,8,36,901,6265681,1,0,0,7,3,3,1,3,-0.4613607846197005,0.007869138383993,0.011855762856764,0.1473848311008203,-0.3983352786092831,-0.4004911237995309,-0.5434724489543095,1.743243243243243,-0.25,-0.25,-0.4613669584117379,1.3935006177362126,0.942773720693844,0.9530843700421752,-0.3835833348834779,-0.8410399024708136,-0.8569208409138332,-0.4436843199879214,-0.4509616195330894,-0.4600685459305426,-0.4313310928137537,-0.4596194077712558,-0.6124834918911465,-0.3751538143547608,-0.7750243141660215,-0.4613564723968952,0.0,-0.3837788822524207,0.25,0.0399113082039911,1.1111111111111112,6.2243822779387785e-06,2.0,2.0,2.0,0.5,0.025,1.0,0.0277777777777777,0
0x95fccbf6dabf802c080c0b3b13ff108b11d9f755708a2d117a367eba52334371,8,0xbc64b059921a72d1518dc4c6877b9d6a647612ab,0x3ff2d8eb2573819a9ef7167d2ba6fd6d31b17f4f,2024-07-19 13:01:23.000000 UTC,895351,6005234423,14674826,557775,0.0,33,2,7,56,56,1.0,41,40,40,1.0,11,1,0x95fccbf6dabf802c080c0b3b13ff108b11d9f755708a2d117a367eba52334371,1,1,76,11,865,5998293,21,43,308360,29,13,7,2,8,2.015418164391324,1.144959634870999,1.0867782618700177,0.6113741141959962,-0.3702767691793848,-0.3726660790614693,-0.4968106730339899,-1.2432432432432432,-0.25,-0.25,2.054388720474909,-2.608105885898181,0.4182487051805419,0.4074063409045473,-0.3389653623003844,-0.7604420827662822,-0.7709282473107496,3.0133560065846323,1.374359221434177,1.7745501057320925,1.4018260516446994,2.545584412271571,2.1593970786271632,-0.2031638877625811,0.840056248028021,2.2027328670940567,0.0,-0.3588800788589191,0.1052631578947368,0.0473441108545034,5.090909090909091,9.3359878658832e-06,0.25,1.9047619047619049,0.0001297180901605,0.025,0.0178571428571428,1.0,0.024390243902439,0
0x03c72b69eb0e5b06577e7253fde8195906930f544c8e59966217bc4580d096d7,9,0x61ec01ad0937ebc10d448d259a2bbb1556b61e38,0x7b7246c78e2f900d17646ff0cb2ec47d6ba10754,2023-12-17 14:58:11.000000 UTC,960801,44577985208,7846562,584767,0.0,19,2,17,75,76,0.986842105263158,61,25,25,1.0,12,1,0x03c72b69eb0e5b06577e7253fde8195906930f544c8e59966217bc4580d096d7,2,2,86,20,650,4464062,7,819,5551065,21,18,8,3,7,2.4282146558931608,2.415825483885888,2.4304313856365845,2.4673312465767,-0.3813524965859236,-0.3836496493528094,-0.4916260312650655,-1.2432432432432432,4.0,4.0,2.424352790899416,-1.1675275445897997,-2.714331248579456,-2.7236098165963583,-0.3701979431085498,0.6940674077154918,0.6911089833477481,1.756250433285522,2.2870196419178104,2.3332047686477506,3.2349831961031525,1.9445436482630056,2.3909620583200897,2.59536736058907,-0.2417601489802764,2.362868930898844,0.0,-0.3694432075713137,0.1046511627906976,0.0937019969278033,3.8,1.6800838160214138e-05,0.0146341463414634,3.571428571428572,4.503639481137497e-06,0.08,0.0263157894736842,1.0,0.0327868852459016,0
