transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x4cc4f7751eb20a6eddf6eb7b40dc48b1ab0c2fefcbb6213f844b27724f1b17f9,7,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,2024-01-05 15:23:59.000000 UTC,840216,31945820557,1384920,653458,240.0,4472,2,1,1659,2455,0.6757637474541751,116,3435,4575,0.7508196721311475,301,4,0x4cc4f7751eb20a6eddf6eb7b40dc48b1ab0c2fefcbb6213f844b27724f1b17f9,2455,116,82,1,115,820486,34,305,2171670,19,10.0,7.0,4,9,-0.1680467657720797,-0.3656026697391824,-0.3488998387920105,-0.0114428834420755,0.1966100917338306,0.2974972553055546,0.8061351921404398,-1.4189768734474566,3.925900685687148,2.9813434976443824,-0.0107070706561725,-0.3983553975422278,-0.0136980362092321,0.0029550866307775,-0.3321983868002136,-0.2559071886677314,-0.2304707320672928,2.21604389713119,-0.1583652709753249,1.264772413871674,2.946019340941942,2.400088136821457,5.90153107742961e-05,-1.5625689602160968,-1.4797434516368964,0.1393838885797145,-0.2078264,0.3004233231988723,0.0853658536585365,1.0,2455.0,0.0020219698788646,0.9836601307189542,134.55882352941177,0.0015817313027617,0.5366120218579234,1.0,21.16379310344828,1.0,0
0x5005c1b2d7ea269dd46589235503e4832e4d31169ba264631f772bc47f32db20,7,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,0x3aa228a80f50763045bdfc45012da124bd0a6809,2024-01-05 15:23:59.000000 UTC,782886,31945820557,1994270,609350,21.0,4473,2,2,1659,2455,0.6757637474541751,116,3435,4575,0.7508196721311475,301,5,0x5005c1b2d7ea269dd46589235503e4832e4d31169ba264631f772bc47f32db20,2455,116,82,1,115,820486,34,305,2171670,19,10.0,7.0,4,9,-0.1680467657720797,-0.3656026697391824,-0.3488998387920105,-0.0114428834420755,0.1966100917338306,0.2974972553055546,0.8061351921404398,-1.4030968211839132,3.925900685687148,2.9813434976443824,-0.0107070706561725,-0.3983553975422278,-0.0136980362092321,0.0029550866307775,-0.3321983868002136,-0.2559071886677314,-0.2304707320672928,2.21604389713119,-0.1583652709753249,1.264772413871674,2.946019340941942,2.400088136821457,-0.0315527116056058,-1.5625689602160968,-1.362107465299956,0.0990287160292008,-0.2078264,0.3005755677989594,0.0853658536585365,1.0,2455.0,0.0020219698788646,0.9836601307189542,134.55882352941177,0.0015817313027617,0.5366120218579234,1.0,21.16379310344828,1.0,0
0x6864003d51944cf3461c416d0d56cca81496d9c68348108022157430230b0b66,1,0x637b60331b703aa509d3f1a1ca520ab37b931545,0xdbb20a979a92cccce15229e41c9b082d5b5d7e31,2024-01-05 15:23:59.000000 UTC,116740,32245820557,10283368,68041,0.0,24,2,3,195,216,0.9027777777777778,7,29,29,1.0,7,176,0x6864003d51944cf3461c416d0d56cca81496d9c68348108022157430230b0b66,2,2,4,122,24,169193,12,57,407996,3,3.0,1.0,1,1,-0.3208427120477208,-0.3664913930052009,-0.3490383342325803,-0.3763479251742444,-0.3830096189806187,-0.3812718534363488,-0.5784335295112932,1.31239211588198,-0.3539348189574607,-0.3880722688767528,-0.3081352748395077,-0.3982187852039254,-0.3180211661707535,-0.322446815343708,-0.3733192628317487,-0.8739365655250563,-0.8873961327125182,-0.9777659332380368,-0.3243674458809319,-0.9157280788746212,-0.3965795266652613,-0.8304487469610365,-0.3988652083514452,-1.5447656288743736,0.2381160828637586,-0.3962242561786975,-0.2078264,-0.3767606579882774,0.25,0.28,1.7704918032786885,0.0011525231391184,0.1206896551724138,2.4166666666666665,7.107895401191676e-05,0.0689655172413793,0.0092592592592592,1.0,0.2857142857142857,0
0xf01f4467aea70c74d7c141cd49d809f66df92483666995af81cb460983ae5599,12,0x637b60331b703aa509d3f1a1ca520ab37b931545,0x88b6db67000f8ef34ae1a34542b2e4b43b87d9b7,2024-01-05 15:16:11.000000 UTC,1153354,30235530760,9050366,615089,0.0,23,2,4,784,786,0.9974554707379136,24,28,28,1.0,7,160,0xf01f4467aea70c74d7c141cd49d809f66df92483666995af81cb460983ae5599,3,2,71,283,24,169737,12,57,407957,13,21.0,6.0,1,6,-0.0407168105423789,-0.3661338397239954,-0.3490030763490944,-0.3194361296747318,-0.3831797950554027,-0.3814211647229176,-0.5784335295112932,1.0583112796652885,-0.3521900837333904,-0.3880722688767528,-0.0526520738102326,-0.3980370117620519,-0.3180211661707535,-0.3221750196470337,-0.3733192628317487,-0.8739365655250563,-0.8874106592580279,1.01836521074273,0.102495289590629,0.9013556650806248,-0.3965795266652613,1.188636805403022,0.1727231168831002,-1.6640651467039616,8.308635039180252e-05,0.1042794264506073,-0.2078264,-0.3769129025883645,0.1690140845070422,0.96,2.777385159010601,0.0046188832200214,0.1206896551724138,2.333333333333333,6.863451629824639e-05,0.1071428571428571,0.0038167938931297,1.5,0.0833333333333333,0
0x594e2700687b1865e54597c572e50e81af498a6de3609fe8347b6e6d0e4230e7,6,0x289aaa01fa045634db0e9bbd24329d0a4020b061,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-01-05 07:24:47.000000 UTC,756872,12619767200,7717251,463565,0.0,8,2,5,111303,149139,0.7463037837185444,64,11,11,1.0,2,1,0x594e2700687b1865e54597c572e50e81af498a6de3609fe8347b6e6d0e4230e7,2,2,55,26371,81,577636,5,1,4499,18,10.0,8.0,2,6,-0.1935127568180199,-0.2990431248079407,-0.3398265626845807,-0.1855260226170551,-0.3860727883267315,-0.3839594565945877,-0.6019806166142139,-1.4666170302380863,-0.3539348189574607,-0.3880722688767528,-0.1136629874888654,-0.3685829400130129,-0.127401183667383,-0.1183787092099636,-0.3864031779326917,-1.0134915861057423,-1.0376888899818018,2.0164307827331136,-0.1583652709753249,1.6281891626627232,0.717620095870473,1.188636805403022,-0.0458968152860997,-2.709462731691071,-0.2572768839877886,-0.0343525034837362,-0.2078264,-0.3791965715896701,0.109090909090909,0.7804878048780488,5.655416935269804,0.1926867565616468,1.0,2.2,0.0024444444444444,0.1818181818181818,1.341030850414714e-05,1.0,0.03125,0
0x6da77c9eb08949f7c46ad697a6e9c3709cd2c5dad66b49d6eb4d42426cfae216,285,0x289aaa01fa045634db0e9bbd24329d0a4020b061,0x52805b4e40d10ae6a60f911d9f4ff74cefcf6dc6,2024-01-05 07:22:47.000000 UTC,15073750,12119341539,13971334,8030756,0.0,7,2,6,2,2,1.0,1,10,10,1.0,2,2,0x6da77c9eb08949f7c46ad697a6e9c3709cd2c5dad66b49d6eb4d42426cfae216,2,1,1995,1,0,62,5,1,4489,12,284.0,6.0,2,3,6.911498744999289,-0.3666085539275654,-0.3490515714028714,-0.3964344412328959,-0.3862429644015155,-0.3841087678811565,-0.6019806166142139,-1.450736977974543,-0.3539348189574607,-0.417628547530447,7.283910296045369,-0.3983553975422278,-0.3982822114353306,-0.4069487969139794,-0.3864031779326917,-1.0134915861057423,-1.0376926147370606,0.8187520963446535,6.339434146758437,0.9013556650806248,0.717620095870473,-0.0228145260154131,7.848420952568964,-2.739160211206684,0.9500837828507948,6.889001503220122,-0.2078264,-0.3793488161897571,0.1428571428571428,1.0,2.0,0.0317460317460317,1.0,2.0,0.0022271714922048,0.2,1.0,2.0,1.0,0
0xf68668115b4dc0fb5f675c2358a1e07ae104867f01e85cb6030b3ab182cb586a,1,0x289aaa01fa045634db0e9bbd24329d0a4020b061,0xdbb20a979a92cccce15229e41c9b082d5b5d7e31,2024-01-05 07:14:23.000000 UTC,70018,14557632207,7444746,46679,0.0,6,2,7,194,215,0.9023255813953488,7,9,9,1.0,2,175,0xf68668115b4dc0fb5f675c2358a1e07ae104867f01e85cb6030b3ab182cb586a,1,1,1,122,24,166784,5,1,4447,2,0.0,0.0,1,0,-0.3208427120477208,-0.3664920000566121,-0.3490383960885162,-0.3763479251742444,-0.3864131404762995,-0.3842580791677254,-0.6019806166142139,1.2965120636184368,-0.3556795541815311,-0.417628547530447,-0.3195748211542514,-0.3982187852039254,-0.3180211661707535,-0.3236504106254883,-0.3864031779326917,-1.0134915861057423,-1.037708258709148,-1.1773790476361137,-0.3955112351261921,-1.2791448276656705,-0.3965795266652613,-1.2342658574338483,-0.4246276905594884,-2.5944612223072325,-0.3098844075075193,-0.4157687196779283,-0.2078264,-0.3795010607898442,1.0,0.28,1.7622950819672132,0.001163174146356,1.0,1.8,0.002023381294964,0.1111111111111111,0.0046511627906976,1.0,0.1428571428571428,0
0x7c0d6eedfcf4ae549035d988db1e6723f5c47e3949528e0ce05220d94db44cf8,7,0x289aaa01fa045634db0e9bbd24329d0a4020b061,0x52805b4e40d10ae6a60f911d9f4ff74cefcf6dc6,2024-01-05 07:10:23.000000 UTC,813114,14348185930,9471192,470743,0.0,5,2,8,1,1,1.0,1,8,8,1.0,2,1,0x7c0d6eedfcf4ae549035d988db1e6723f5c47e3949528e0ce05220d94db44cf8,1,1,49,1,0,0,4,1,4427,12,10.0,6.0,2,3,-0.1680467657720797,-0.3666091609789766,-0.3490516332588074,-0.3964344412328959,-0.3865833165510836,-0.3844073904542942,-0.6019806166142139,-1.4666170302380863,-0.3556795541815311,-0.417628547530447,-0.1365420801183528,-0.3983553975422278,-0.3982822114353306,-0.4069797736294092,-0.3882723086613979,-1.0134915861057423,-1.0377157082196655,0.8187520963446535,-0.1583652709753249,0.9013556650806248,0.717620095870473,-0.0228145260154131,-0.0148850109039079,-2.6068906938663035,0.0813242147433174,-0.0277852270584259,-0.2078264,-0.3796533053899312,0.1428571428571428,1.0,1.0,1.0,1.0,2.0,0.001806684733514,0.125,1.0,1.0,1.0,0
0x83ea9e9f97e3bf39379357a81d0746a6dea3e18d3660ed77ae3401a4b107b780,1,0x289aaa01fa045634db0e9bbd24329d0a4020b061,0xe38dc15b15db129c1b3599e79ee0e88ba2e0db95,2024-01-04 16:24:47.000000 UTC,10533723,30678117082,13308451,70850,0.0,3,2,9,1,1,1.0,1,6,6,1.0,1,1,0x83ea9e9f97e3bf39379357a81d0746a6dea3e18d3660ed77ae3401a4b107b780,1,1,8,1,0,0,3,0,53,6,4.0,2.0,1,3,-0.3208427120477208,-0.3666091609789766,-0.3490516332588074,-0.3964344412328959,-0.3869236687006517,-0.3847060130274319,-0.6066900340347979,-1.4666170302380863,-0.3556795541815311,-0.417628547530447,-0.2928825464198495,-0.3983553975422278,-0.3982822114353306,-0.4069797736294092,-0.390141439390104,-1.0159836400446831,-1.0393449161699004,-0.3789265900438066,-0.3006528494658452,-0.552311330083572,-0.3965795266652613,-0.0228145260154131,5.345052843080169,-1.6378001102443598,0.8221131657489815,-0.3936542534650312,-0.2078264,-0.3799577945901053,0.125,1.0,1.0,1.0,1.0,2.0,0.1111111111111111,0.1666666666666666,1.0,1.0,1.0,0
0x792b6177919882cd9f7e745e07d6a9011a5337cd7cce58ee49bf6b9522533d28,302,0xfde0d1575ed8e06fbf36256bcdfa1f359281455a,0x6980a47bee930a4584b09ee79ebe46484fbdbdd0,2024-01-04 16:20:59.000000 UTC,11935073,32664045944,8487238,8487238,947.0,31595,2,10,1221,2561,0.4767668879344006,120,27743,31625,0.8772490118577075,496,7,0x792b6177919882cd9f7e745e07d6a9011a5337cd7cce58ee49bf6b9522533d28,2448,120,2124,3,121,864001,38,497,3523205,11,309.0,5.0,3,5,7.344420592780271,-0.3658685582572945,-0.3488932820628008,0.0019481272636921,4.33325011758434,4.336367556992419,1.7244715891543445,-1.3713367166568269,3.9136875391186554,3.099568612259159,7.775810787579346,-0.3983531394870492,0.006367225106912,0.0246962442425125,-0.324721863885389,0.2225671676089072,0.2729429778139237,0.6191389819465768,6.932299057135605,0.5379389162895756,1.8318197184062075,0.7848196949302102,6.117756375511171,-1.519946278406769,-0.1086296693958107,7.306644785078369,-0.2078264,4.429753611359634,0.1421845574387947,0.9836065573770492,853.6666666666666,0.0014131911731685,0.9959839357429718,832.2368421052631,0.0078743621576484,0.0774071146245059,0.9558766106989456,20.4,1.0,0
